init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type	is_zone	through_flow_allowed
1	117	9000	5280	1.090458488	0.15	4	4842	0	1	true	true
2	87	9000	5280	1.090458488	0.15	4	4842	0	1	true	true
3	74	9000	5280	1.090458488	0.15	4	4842	0	1	true	true
4	233	9000	5280	1.090458488	0.15	4	4842	0	1	true	true
5	165	9000	5280	1.090458488	0.15	4	4842	0	1	true	true
6	213	9000	5280	1.090458488	0.15	4	4842	0	1	true	true
7	253	9000	5280	1.090458488	0.15	4	4842	0	1	true	true
8	411	5400	2640	1.0	0.15	4	2640	0	1	true	true
9	379	5400	2640	1.0	0.15	4	2640	0	1	true	true
9	395	5400	2640	1.0	0.15	4	2640	0	1	true	true
10	338	5400	2640	1.0	0.15	4	2640	0	1	true	true
10	362	5400	2640	1.0	0.15	4	2640	0	1	true	true
11	309	5400	2640	1.0	0.15	4	2640	0	1	true	true
12	275	5400	2640	1.0	0.15	4	2640	0	1	true	true
13	262	5400	2640	1.0	0.15	4	2640	0	1	true	true
14	257	5400	2640	1.0	0.15	4	2640	0	1	true	true
15	254	5400	2640	1.0	0.15	4	2640	0	1	true	true
16	263	5400	2640	1.0	0.15	4	2640	0	1	true	true
17	276	5400	2640	1.0	0.15	4	2640	0	1	true	true
18	322	5400	2640	1.0	0.15	4	2640	0	1	true	true
18	348	5400	2640	1.0	0.15	4	2640	0	1	true	true
19	364	5400	2640	1.0	0.15	4	2640	0	1	true	true
19	380	5400	2640	1.0	0.15	4	2640	0	1	true	true
20	397	5400	2640	1.0	0.15	4	2640	0	1	true	true
21	412	5400	2640	1.0	0.15	4	2640	0	1	true	true
21	413	5400	2640	1.0	0.15	4	2640	0	1	true	true
22	414	5400	2640	1.0	0.15	4	2640	0	1	true	true
22	415	5400	2640	1.0	0.15	4	2640	0	1	true	true
23	416	5400	2640	1.0	0.15	4	2640	0	1	true	true
24	266	12600	1320	0.149068323	0.15	4	8855	0	1	true	true
24	267	12600	1320	0.149068323	0.15	4	8855	0	1	true	true
25	268	12600	1320	0.149068323	0.15	4	8855	0	1	true	true
25	269	12600	1320	0.149068323	0.15	4	8855	0	1	true	true
26	273	12600	1320	0.149068323	0.15	4	8855	0	1	true	true
26	274	12600	1320	0.149068323	0.15	4	8855	0	1	true	true
27	302	12600	1320	0.149068323	0.15	4	8855	0	1	true	true
27	303	12600	1320	0.149068323	0.15	4	8855	0	1	true	true
28	303	12600	1320	0.149068323	0.15	4	8855	0	1	true	true
28	304	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
29	308	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
29	337	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
30	340	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
30	341	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
31	329	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
31	330	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
32	332	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
32	333	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
33	337	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
33	361	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
34	369	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
34	385	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
35	373	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
35	389	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
36	378	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
36	394	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
37	401	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
37	402	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
38	406	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
38	407	12600	1320	0.149068323	0.15	4	8855	0	1	false	false
39	266	5400	3854	1.459848485	0.15	4	2640	0	1	false	false
39	267	5400	3854	1.459848485	0.15	4	2640	0	1	false	false
40	268	5400	3485	1.320075758	0.15	4	2640	0	1	false	false
40	269	5400	3485	1.320075758	0.15	4	2640	0	1	false	false
41	273	5400	2640	1.0	0.15	4	2640	0	1	false	false
41	274	5400	2640	1.0	0.15	4	2640	0	1	false	false
42	302	5400	2640	1.0	0.15	4	2640	0	1	false	false
42	303	5400	2640	1.0	0.15	4	2640	0	1	false	false
43	303	5400	4066	1.540151515	0.15	4	2640	0	1	false	false
43	304	5400	4066	1.540151515	0.15	4	2640	0	1	false	false
44	308	5400	2640	1.0	0.15	4	2640	0	1	false	false
44	337	5400	7920	3.0	0.15	4	2640	0	1	false	false
45	340	5400	2640	1.0	0.15	4	2640	0	1	false	false
45	341	5400	2640	1.0	0.15	4	2640	0	1	false	false
46	329	5400	2640	1.0	0.15	4	2640	0	1	false	false
46	330	5400	2640	1.0	0.15	4	2640	0	1	false	false
47	332	5400	2429	0.920075758	0.15	4	2640	0	1	false	false
47	333	5400	2482	0.940151515	0.15	4	2640	0	1	false	false
48	337	5400	2640	1.0	0.15	4	2640	0	1	false	false
48	361	5400	2640	1.0	0.15	4	2640	0	1	false	false
49	369	5400	2640	1.0	0.15	4	2640	0	1	false	false
49	385	5400	2640	1.0	0.15	4	2640	0	1	false	false
50	373	5400	2640	1.0	0.15	4	2640	0	1	false	false
50	389	5400	2640	1.0	0.15	4	2640	0	1	false	false
51	378	5400	2640	1.0	0.15	4	2640	0	1	false	false
51	394	5400	2640	1.0	0.15	4	2640	0	1	false	false
52	401	5400	2640	1.0	0.15	4	2640	0	1	false	false
52	402	5400	2640	1.0	0.15	4	2640	0	1	false	false
53	406	5400	2851	1.079924242	0.15	4	2640	0	1	false	false
53	407	5400	2798	1.059848485	0.15	4	2640	0	1	false	false
54	56	9000	1320	0.333333333	0.15	4	3960	0	1	false	false
54	230	9000	1320	0.333333333	0.15	4	3960	0	1	false	false
55	59	9000	1320	0.333333333	0.15	4	3960	0	1	false	false
56	102	9000	1320	0.333333333	0.15	4	3960	0	1	false	false
57	54	9000	1320	0.333333333	0.15	4	3960	0	1	false	false
57	235	9000	1320	0.333333333	0.15	4	3960	0	1	false	false
58	137	9000	1320	0.333333333	0.15	4	3960	0	1	false	false
