src,dst,volume
2,1,1171.2
3,1,721.1
4,1,1222.5
5,1,243.4
6,1,637.4
7,1,682.3
8,1,44.3
9,1,198.6
10,1,12.3
11,1,35.8
12,1,35.2
13,1,1.0
14,1,9.8
15,1,33.8
16,1,17.4
17,1,55.3
18,1,181.1
19,1,58.1
20,1,25.5
21,1,141.9
22,1,86.0
23,1,119.2
24,1,29.8
25,1,796.8
26,1,244.6
27,1,39.3
28,1,135.4
29,1,91.6
30,1,143.3
31,1,248.7
32,1,141.2
33,1,131.2
34,1,256.3
35,1,146.2
36,1,59.4
37,1,19.8
38,1,111.2
1,2,1365.9
3,2,1237.9
4,2,2106.7
5,2,419.2
6,2,1089.9
7,2,1191.8
8,2,95.3
9,2,293.5
10,2,21.1
11,2,58.8
12,2,61.4
13,2,1.0
14,2,16.8
15,2,61.8
16,2,29.2
17,2,88.3
18,2,311.6
19,2,96.8
20,2,57.8
21,2,261.1
22,2,151.8
23,2,197.1
24,2,51.3
25,2,1232.3
26,2,383.6
27,2,64.1
28,2,238.8
29,2,132.6
30,2,314.5
31,2,416.3
32,2,241.5
33,2,221.4
34,2,507.2
35,2,247.5
36,2,111.9
37,2,31.8
38,2,192.6
1,3,407.4
2,3,608.1
4,3,938.6
5,3,145.3
6,3,381.8
7,3,431.1
8,3,1.3
9,3,132.6
10,3,9.5
11,3,22.8
12,3,19.8
13,3,1.0
14,3,9.0
15,3,33.3
16,3,11.6
17,3,58.0
18,3,201.8
19,3,44.8
20,3,1.0
21,3,71.5
22,3,53.6
23,3,56.9
24,3,29.8
25,3,819.0
26,3,241.8
27,3,33.8
28,3,89.3
29,3,55.0
30,3,89.1
31,3,178.1
32,3,102.1
33,3,71.6
34,3,136.8
35,3,93.5
36,3,19.3
37,3,21.3
38,3,55.3
1,4,861.4
2,4,1271.4
3,4,1107.9
5,4,311.6
6,4,812.1
7,4,883.4
8,4,28.1
9,4,201.4
10,4,13.1
11,4,45.8
12,4,44.7
13,4,1.0
14,4,14.3
15,4,51.5
16,4,22.6
17,4,86.0
18,4,334.7
19,4,97.2
20,4,31.1
21,4,173.8
22,4,112.8
23,4,116.0
24,4,44.3
25,4,1232.4
26,4,372.0
27,4,54.9
28,4,179.4
29,4,95.1
30,4,219.3
31,4,332.5
32,4,191.7
33,4,134.9
34,4,388.4
35,4,156.8
36,4,53.5
37,4,34.1
38,4,112.7
1,5,354.4
2,5,542.3
3,5,386.6
4,5,665.9
6,5,338.2
7,5,379.6
8,5,26.6
9,5,75.9
10,5,5.8
11,5,12.0
12,5,15.9
13,5,1.0
14,5,4.5
15,5,16.8
16,5,11.3
17,5,31.1
18,5,136.8
19,5,39.7
20,5,25.3
21,5,103.4
22,5,64.1
23,5,53.2
24,5,13.6
25,5,333.6
26,5,101.9
27,5,22.8
28,5,78.1
29,5,36.3
30,5,131.1
31,5,135.6
32,5,79.7
33,5,53.7
34,5,206.3
35,5,68.1
36,5,29.0
37,5,12.6
38,5,51.4
1,6,545.1
2,6,808.4
3,6,582.8
4,6,988.8
5,6,195.6
7,6,646.4
8,6,33.8
9,6,157.6
10,6,11.1
11,6,14.8
12,6,23.2
13,6,1.0
14,6,5.8
15,6,21.8
16,6,11.1
17,6,33.8
18,6,135.4
19,6,47.3
20,6,18.1
21,6,136.0
22,6,89.4
23,6,109.6
24,6,18.5
25,6,517.8
26,6,155.7
27,6,33.4
28,6,116.3
29,6,88.3
30,6,105.9
31,6,203.3
32,6,114.7
