init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type	is_zone	through_flow_allowed
1	2	99999	1.794821	4.296	0.83	5.5	0	0	1	true	true
2	1	99999	1.794821	4.296	0.83	5.5	0	0	1	true	true
2	43	1201	1.209335	2.074286	0.83	5.5	0	0	1	true	true
3	4	99999	0.723172	1.728	0.83	5.5	0	0	1	true	true
3	6572	99999	1.589523	3.816	0.83	5.5	0	0	1	true	true
4	3	99999	0.723172	1.728	0.83	5.5	0	0	1	true	true
4	4520	5000	2.904919	4.971429	0.83	5.5	0	0	1	true	true
4	6572	1201	2.350697	4.028571	0.83	5.5	0	0	1	true	true
5	6	4250	0.772194	1.026667	0.83	5.5	0	0	1	true	true
5	1974	4250	0.223346	0.293333	0.83	5.5	0	0	1	true	true
5	1976	1201	0.035727	0.06	0.83	5.5	0	0	1	true	true
6	5	4250	0.772194	1.026667	0.83	5.5	0	0	1	true	true
6	4533	4250	0.254581	0.375	0.83	5.5	0	0	1	true	true
6	4555	99999	1.038391	2.496	0.83	5.5	0	0	1	true	true
7	8	1201	0.193364	0.285	0.83	5.5	0	0	1	true	true
7	3657	1201	0.557528	0.84	0.83	5.5	0	0	1	true	true
7	3658	99999	0.185119	0.38	0.83	5.5	0	0	1	true	true
8	7	1201	0.193364	0.285	0.83	5.5	0	0	1	true	true
8	9	1201	0.357846	0.54	0.83	5.5	0	0	1	true	true
8	52	1201	0.309764	0.531429	0.83	5.5	0	0	1	true	true
9	8	1201	0.357846	0.54	0.83	5.5	0	0	1	true	true
9	54	99999	0.283793	0.56	0.83	5.5	0	0	1	true	true
9	3674	1201	0.548412	0.825	0.83	5.5	0	0	1	true	true
10	11	14025	0.414162	0.351429	0.83	5.5	0	0	1	true	true
11	13	3188	0.111396	0.188571	0.83	5.5	0	0	1	true	true
11	4950	14025	0.307303	0.265714	0.83	5.5	0	0	1	true	true
12	13	4250	0.540866	0.72	0.83	5.5	0	0	1	true	true
