id,is_zone,through_flow_allowed
1,true,true
2,true,true
3,true,true
4,true,true
5,true,true
6,true,true
7,true,true
8,true,true
9,true,true
10,true,true
11,true,true
12,true,true
13,true,true
14,true,true
15,true,true
16,true,true
17,true,true
18,true,true
19,true,true
20,true,true
21,true,true
22,true,true
23,true,true
24,true,true
25,true,true
26,true,true
27,true,true
28,true,true
29,true,true
30,true,true
31,true,true
32,true,true
33,true,true
34,true,true
35,true,true
36,true,true
37,true,true
38,true,true
39,true,true
40,true,true
41,true,true
42,true,true
43,true,true
44,true,true
45,true,true
46,true,true
47,true,true
48,true,true
49,true,true
50,true,true
51,true,true
52,true,true
53,true,true
54,true,true
55,true,true
56,true,true
57,true,true
58,true,true
59,true,true
60,true,true
61,true,true
62,true,true
63,true,true
64,true,true
65,true,true
66,true,true
67,true,true
68,true,true
69,true,true
70,true,true
71,true,true
72,true,true
73,true,true
74,true,true
75,true,true
76,true,true
77,true,true
78,true,true
79,true,true
80,true,true
81,true,true
82,true,true
83,true,true
84,true,true
85,true,true
86,true,true
87,true,true
88,true,true
89,true,true
90,true,true
91,true,true
92,true,true
93,true,true
94,true,true
95,true,true
96,true,true
97,true,true
98,true,true
99,true,true
100,true,true
101,true,true
102,true,true
103,true,true
104,true,true
105,true,true
106,true,true
107,true,true
108,true,true
109,true,true
110,true,true
111,true,true
112,true,true
113,true,true
114,true,true
115,true,true
116,true,true
117,true,true
118,true,true
119,true,true
120,true,true
121,true,true
122,true,true
123,true,true
124,true,true
125,true,true
126,true,true
127,true,true
128,true,true
129,true,true
130,true,true
131,true,true
132,true,true
133,true,true
134,true,true
135,true,true
136,true,true
137,true,true
138,true,true
139,true,true
140,true,true
141,true,true
142,true,true
143,true,true
144,true,true
145,true,true
146,true,true
147,true,true
148,true,true
149,true,true
150,true,true
151,true,true
152,true,true
153,true,true
154,true,true
155,true,true
156,true,true
157,true,true
158,true,true
159,true,true
160,true,true
161,true,true
162,true,true
163,true,true
164,true,true
165,true,true
166,true,true
167,true,true
168,true,true
169,true,true
170,true,true
171,true,true
172,true,true
173,true,true
174,true,true
175,true,true
176,true,true
177,true,true
178,true,true
179,true,true
180,true,true
181,true,true
182,true,true
183,true,true
184,true,true
185,true,true
186,true,true
187,true,true
188,true,true
189,true,true
190,true,true
191,true,true
192,true,true
193,true,true
194,true,true
195,true,true
196,true,true
197,true,true
198,true,true
199,true,true
200,true,true
201,true,true
202,true,true
203,true,true
204,true,true
205,true,true
206,true,true
207,true,true
208,true,true
209,true,true
210,true,true
211,true,true
212,true,true
213,true,true
214,true,true
215,true,true
216,true,true
217,true,true
218,true,true
219,true,true
220,true,true
221,true,true
222,true,true
223,true,true
224,true,true
225,true,true
226,true,true
227,true,true
228,true,true
229,true,true
230,true,true
231,true,true
232,true,true
233,true,true
234,true,true
235,true,true
236,true,true
237,true,true
238,true,true
239,true,true
240,true,true
241,true,true
242,true,true
243,true,true
244,true,true
245,true,true
246,true,true
247,true,true
248,true,true
249,true,true
250,true,true
251,true,true
252,true,true
253,true,true
254,true,true
255,true,true
256,true,true
257,true,true
