id,is_zone,through_flow_allowed
1,true,true
2,true,true
3,true,true
4,true,true
5,true,true
6,true,true
7,true,true
8,true,true
9,true,true
10,true,true
11,true,true
12,true,true
13,true,true
14,true,true
15,true,true
16,true,true
17,true,true
18,true,true
19,true,true
20,true,true
21,true,true
22,true,true
23,true,true
24,true,true
25,true,true
26,true,true
27,true,true
28,true,true
29,true,true
30,true,true
31,true,true
32,true,true
33,true,true
34,true,true
35,true,true
36,true,true
37,true,true
38,true,true
39,true,true
40,true,true
41,true,true
42,true,true
43,true,true
44,true,true
45,true,true
46,true,true
47,true,true
48,true,true
49,true,true
50,true,true
51,true,true
52,true,true
53,true,true
54,true,true
55,true,true
56,true,true
57,true,true
58,true,true
59,true,true
60,true,true
61,true,true
62,true,true
63,true,true
64,true,true
65,true,true
66,true,true
67,true,true
68,true,true
69,true,true
70,true,true
71,true,true
72,true,true
73,true,true
74,true,true
75,true,true
76,true,true
77,true,true
78,true,true
79,true,true
80,true,true
81,true,true
82,true,true
83,true,true
84,true,true
85,true,true
86,true,true
87,true,true
88,true,true
89,true,true
90,true,true
91,true,true
92,true,true
93,true,true
94,true,true
95,true,true
96,true,true
97,true,true
98,true,true
99,true,true
100,true,true
101,true,true
102,true,true
103,true,true
104,true,true
105,true,true
106,true,true
107,true,true
108,true,true
109,true,true
110,true,true
111,false,false
112,false,false
113,false,false
114,false,false
115,false,false
116,false,false
117,false,false
118,false,false
119,false,false
120,false,false
121,false,false
122,false,false
123,false,false
124,false,false
125,false,false
126,false,false
127,false,false
128,false,false
129,false,false
130,false,false
131,false,false
132,false,false
133,false,false
134,false,false
135,false,false
136,false,false
137,false,false
138,false,false
139,false,false
140,false,false
141,false,false
142,false,false
143,false,false
144,false,false
145,false,false
146,false,false
147,false,false
148,false,false
149,false,false
150,false,false
151,false,false
152,false,false
153,false,false
154,false,false
155,false,false
156,false,false
157,false,false
158,false,false
159,false,false
160,false,false
161,false,false
162,false,false
163,false,false
164,false,false
165,false,false
166,false,false
167,false,false
168,false,false
169,false,false
170,false,false
171,false,false
172,false,false
173,false,false
174,false,false
175,false,false
176,false,false
177,false,false
178,false,false
179,false,false
180,false,false
181,false,false
182,false,false
183,false,false
184,false,false
185,false,false
186,false,false
187,false,false
188,false,false
189,false,false
190,false,false
191,false,false
192,false,false
193,false,false
194,false,false
195,false,false
196,false,false
197,false,false
198,false,false
199,false,false
200,false,false
201,false,false
202,false,false
203,false,false
204,false,false
205,false,false
206,false,false
207,false,false
208,false,false
209,false,false
210,false,false
211,false,false
212,false,false
213,false,false
214,false,false
215,false,false
216,false,false
217,false,false
218,false,false
219,false,false
220,false,false
221,false,false
222,false,false
223,false,false
224,false,false
225,false,false
226,false,false
227,false,false
228,false,false
229,false,false
230,false,false
231,false,false
232,false,false
233,false,false
234,false,false
235,false,false
236,false,false
237,false,false
238,false,false
239,false,false
240,false,false
241,false,false
242,false,false
243,false,false
244,false,false
245,false,false
246,false,false
247,false,false
248,false,false
249,false,false
250,false,false
251,false,false
252,false,false
253,false,false
254,false,false
255,false,false
256,false,false
257,false,false
