src,dst,volume
5,1,13.27
6,1,54.62
7,1,49.68
8,1,29.02
9,1,11.58
10,1,1.654
11,1,14.06
12,1,12.41
13,1,14.89
14,1,8.271
15,1,39.7
16,1,16.54
17,1,0.827
18,1,9.098
19,1,25.68
20,1,8.29
21,1,16.54
22,1,3.308
23,1,37.24
24,1,26.49
25,1,23.2
26,1,96.84
27,1,65.38
28,1,79.4
29,1,81.99
30,1,43.01
31,1,50.49
32,1,57.11
33,1,52.14
34,1,57.14
35,1,31.45
36,1,22.35
37,1,33.18
38,1,33.08
39,1,39.72
40,1,91.82
41,1,46.32
42,1,34.78
43,1,51.3
44,1,4.135
45,1,19.87
46,1,14.06
47,1,37.24
48,1,14.06
49,1,30.62
50,1,21.5
51,1,51.28
52,1,28.95
53,1,15.73
54,1,11.58
55,1,24.83
56,1,17.37
57,1,22.33
58,1,28.12
59,1,20.7
60,1,25.64
61,1,31.43
62,1,37.22
63,1,23.18
64,1,29.77
65,1,92.67
66,1,8.271
67,1,9.925
68,1,67.82
69,1,14.06
70,1,38.87
71,1,14.08
72,1,8.271
73,1,19.02
74,1,778.1
75,1,125.8
76,1,133.2
78,1,17.39
79,1,29.77
80,1,19.85
81,1,3.308
82,1,4.135
83,1,0.827
84,1,655.4
85,1,709.6
86,1,2.481
87,1,33.91
88,1,13.25
89,1,12.41
90,1,68.68
91,1,146.4
92,1,163.0
94,1,26.47
95,1,16.54
97,1,128.2
99,1,3.308
1,3,402.1
5,3,20.68
6,3,75.26
7,3,85.19
8,3,57.89
9,3,42.2
10,3,6.617
11,3,29.79
12,3,45.49
13,3,39.7
14,3,40.53
15,3,78.57
16,3,26.47
17,3,4.135
18,3,28.95
19,3,40.56
20,3,22.33
21,3,99.27
22,3,0.827
23,3,48.8
24,3,54.59
25,3,74.49
26,3,219.2
27,3,126.6
28,3,86.84
29,3,153.9
30,3,47.14
31,3,91.88
32,3,74.46
33,3,74.46
34,3,53.76
35,3,60.38
36,3,32.26
37,3,37.24
38,3,74.44
39,3,69.47
40,3,127.4
41,3,72.01
42,3,43.83
43,3,47.99
44,3,5.789
45,3,33.91
46,3,71.13
47,3,177.8
48,3,52.11
49,3,81.9
50,3,27.29
51,3,68.67
52,3,35.56
53,3,49.62
54,3,52.11
55,3,46.33
56,3,44.66
57,3,50.45
58,3,43.01
59,3,45.51
60,3,37.22
61,3,35.56
62,3,58.72
63,3,35.58
64,3,50.49
65,3,158.8
66,3,40.55
67,3,26.49
68,3,202.6
69,3,23.16
70,3,71.95
71,3,16.54
72,3,22.33
73,3,28.12
74,3,2328.0
75,3,172.9
76,3,369.7
77,3,87.67
78,3,23.18
79,3,66.18
80,3,68.65
81,3,9.925
82,3,0.827
83,3,2.481
84,3,167.1
86,3,8.271
87,3,119.9
88,3,19.02
89,3,14.06
90,3,151.4
91,3,151.4
92,3,247.3
94,3,36.39
95,3,43.01
1,5,25.66
6,5,20.87
7,5,9.982
8,5,4.154
9,5,8.29
10,5,1.654
11,5,0.846
12,5,2.481
13,5,0.827
14,5,4.135
15,5,4.962
16,5,1.654
17,5,0.827
18,5,6.617
19,5,2.481
20,5,4.135
21,5,7.444
22,5,0.827
23,5,7.463
24,5,7.463
25,5,7.463
26,5,12.43
27,5,9.098
28,5,9.944
29,5,12.44
30,5,4.981
31,5,14.91
32,5,16.56
33,5,12.41
34,5,9.098
35,5,7.444
36,5,5.789
37,5,5.809
38,5,6.617
39,5,9.925
40,5,13.23
41,5,17.37
42,5,4.135
43,5,4.962
44,5,2.5
45,5,7.444
46,5,8.271
47,5,5.809
48,5,4.962
49,5,5.789
50,5,1.654
51,5,6.617
52,5,5.789
53,5,3.308
54,5,4.135
55,5,3.308
56,5,3.308
57,5,4.135
58,5,0.827
59,5,3.308
60,5,4.154
61,5,3.308
62,5,7.444
63,5,4.135
64,5,7.444
65,5,9.098
66,5,0.827
67,5,4.962
68,5,5.789
69,5,1.654
70,5,4.135
71,5,1.654
72,5,3.308
73,5,2.481
74,5,78.65
75,5,5.789
76,5,13.23
78,5,1.654
79,5,2.481
80,5,1.654
82,5,0.827
84,5,11.58
87,5,0.827
89,5,0.827
90,5,5.789
91,5,18.2
92,5,23.18
94,5,9.098
95,5,1.654
99,5,0.827
1,6,28.2
3,6,1.654
5,6,8.271
7,6,43.22
8,6,16.62
9,6,14.14
10,6,2.481
11,6,11.58
12,6,4.154
13,6,6.617
14,6,13.31
15,6,15.73
16,6,4.981
18,6,7.444
19,6,8.29
20,6,2.481
21,6,8.271
22,6,5.001
23,6,33.25
24,6,31.54
25,6,14.91
26,6,36.49
27,6,34.02
28,6,42.33
29,6,27.39
30,6,8.29
31,6,38.08
32,6,54.16
33,6,53.03
34,6,34.04
35,6,43.05
36,6,15.73
37,6,25.72
38,6,16.54
39,6,28.95
40,6,58.78
41,6,35.6
42,6,24.93
43,6,19.93
44,6,9.098
45,6,10.85
46,6,9.136
47,6,19.91
48,6,11.62
49,6,16.58
50,6,6.617
51,6,32.27
52,6,10.77
53,6,9.925
54,6,5.789
55,6,2.481
56,6,12.41
57,6,10.75
58,6,9.925
59,6,5.001
60,6,7.444
61,6,5.789
62,6,19.89
63,6,6.617
64,6,24.81
65,6,28.14
66,6,3.308
67,6,2.481
68,6,20.73
69,6,2.481
70,6,18.2
71,6,4.135
72,6,4.135
73,6,4.962
74,6,132.5
75,6,20.75
76,6,19.85
78,6,8.271
79,6,11.58
80,6,4.962
81,6,1.654
82,6,3.308
83,6,0.827
84,6,38.87
87,6,7.463
88,6,4.135
89,6,1.654
90,6,14.89
91,6,27.29
92,6,55.43
94,6,9.117
95,6,7.444
99,6,4.174
1,7,12.44
5,7,3.308
6,7,38.2
8,7,8.271
9,7,12.52
10,7,0.827
11,7,3.346
12,7,2.481
13,7,1.654
14,7,1.654
15,7,3.327
16,7,0.827
17,7,0.827
18,7,2.481
19,7,2.481
20,7,0.827
21,7,3.308
23,7,4.981
24,7,7.444
25,7,3.366
26,7,10.75
27,7,6.655
28,7,12.41
29,7,6.636
30,7,4.135
31,7,10.75
32,7,24.25
33,7,7.444
34,7,6.617
35,7,5.789
36,7,7.444
37,7,10.79
38,7,3.308
39,7,7.482
40,7,13.23
41,7,3.308
42,7,5.809
43,7,5.789
45,7,0.827
46,7,0.827
47,7,4.135
48,7,2.481
49,7,10.75
50,7,1.654
51,7,5.789
52,7,3.308
53,7,4.135
54,7,0.827
55,7,1.654
56,7,0.827
57,7,0.827
58,7,2.481
59,7,1.654
60,7,1.654
61,7,2.481
62,7,8.29
63,7,3.308
64,7,6.617
65,7,9.925
66,7,3.308
67,7,4.135
68,7,7.444
69,7,1.654
71,7,0.827
74,7,45.49
75,7,6.617
76,7,5.789
78,7,2.481
79,7,7.463
80,7,3.308
81,7,0.827
84,7,7.444
85,7,436.7
87,7,0.827
88,7,0.827
90,7,4.981
91,7,7.444
92,7,22.33
94,7,4.962
95,7,3.308
1,8,16.64
5,8,8.328
6,8,43.41
7,8,23.27
9,8,7.501
10,8,3.308
11,8,5.828
12,8,4.154
13,8,8.29
14,8,7.482
15,8,15.75
16,8,4.981
17,8,0.846
18,8,9.963
19,8,4.962
20,8,3.308
21,8,11.6
22,8,4.174
23,8,44.08
24,8,40.83
25,8,15.79
26,8,27.33
27,8,13.29
28,8,33.2
29,8,23.16
30,8,5.828
31,8,19.93
32,8,22.48
33,8,34.12
34,8,35.0
35,8,34.16
36,8,13.29
37,8,13.25
38,8,18.27
39,8,19.08
40,8,44.85
41,8,25.68
42,8,9.117
43,8,20.0
44,8,5.809
45,8,11.64
46,8,8.29
47,8,10.77
48,8,9.963
49,8,15.75
50,8,4.962
51,8,30.66
52,8,15.73
53,8,11.66
54,8,6.617
55,8,5.809
56,8,4.135
57,8,11.62
58,8,5.789
59,8,2.5
60,8,7.463
61,8,14.89
62,8,11.62
63,8,8.271
64,8,11.58
65,8,33.14
66,8,4.135
67,8,4.962
68,8,19.04
70,8,14.08
71,8,3.308
72,8,5.809
73,8,9.136
74,8,83.67
75,8,12.46
76,8,14.14
78,8,10.75
79,8,11.69
80,8,4.981
81,8,1.654
82,8,1.654
83,8,1.654
84,8,17.37
87,8,11.6
88,8,4.154
89,8,1.673
90,8,5.809
91,8,27.31
92,8,58.91
94,8,13.27
95,8,3.308
99,8,2.481
1,9,19.87
5,9,6.655
6,9,32.35
7,9,26.68
8,9,8.271
10,9,1.654
11,9,5.789
12,9,2.481
13,9,4.135
14,9,26.5
15,9,22.35
16,9,4.135
17,9,2.481
18,9,8.271
19,9,4.962
20,9,1.654
21,9,7.444
23,9,9.098
24,9,13.31
25,9,3.308
26,9,18.2
27,9,11.58
28,9,15.71
29,9,12.41
30,9,3.308
31,9,18.2
32,9,11.58
33,9,15.73
