id,x,y,is_zone,through_flow_allowed
1,23.5506,18.9009,true,true
2,23.6215,18.364,true,true
3,24.5554,19.0699,true,true
4,25.4589,18.717,true,true
5,23.8744,18.4044,true,true
6,23.9589,18.712,true,true
7,24.1801,18.3274,true,true
8,24.1994,18.6586,true,true
9,25.1849,18.5001,true,true
10,24.8381,18.4747,true,true
11,24.5312,18.625,true,true
12,24.9543,18.7717,true,true
13,24.1472,17.9533,true,true
14,24.3914,18.0882,true,true
15,24.5119,17.752,true,true
16,25.0798,18.0409,true,true
17,24.8095,18.1758,true,true
18,25.3259,18.0782,true,true
19,24.3914,17.1101,true,true
20,24.996,17.4774,true,true
21,25.6068,17.9049,true,true
22,25.0656,17.0598,true,true
23,24.9842,16.7969,true,true
24,24.5821,16.9374,true,true
25,25.6795,17.0393,true,true
26,25.5105,16.6938,true,true
27,26.4338,20.806,true,true
28,26.1486,20.9396,true,true
29,26.1486,20.9396,true,true
30,25.8317,20.5879,true,true
31,26.4475,20.1567,true,true
32,26.737,19.6267,true,true
33,26.4046,19.1203,true,true
34,26.3182,19.5714,true,true
35,26.0716,19.8964,true,true
36,25.677,19.4707,true,true
37,25.4545,19.2352,true,true
38,25.0382,19.3763,true,true
39,24.9922,19.9815,true,true
40,25.2402,19.6901,true,true
41,24.8549,19.6739,true,true
42,25.7776,20.3667,true,true
43,25.9603,20.1393,true,true
44,23.2586,20.2599,true,true
45,24.4262,19.4651,true,true
46,23.9086,20.0498,true,true
47,24.1254,20.6389,true,true
48,24.6915,20.1424,true,true
49,24.4311,20.358,true,true
50,24.3845,20.0623,true,true
51,24.6269,20.6358,true,true
52,25.0991,20.4177,true,true
53,26.1815,16.782,true,true
54,26.335,16.5919,true,true
55,26.7209,16.5857,true,true
56,26.632,16.8641,true,true
57,26.9657,16.9293,true,true
58,27.3218,16.8578,true,true
59,27.1422,16.5372,true,true
60,27.6107,16.4453,true,true
61,27.8897,16.8224,true,true
62,27.7667,16.695,true,true
63,28.1743,16.6466,true,true
64,28.2631,16.9206,true,true
65,28.7739,16.6602,true,true
66,28.7043,16.4254,true,true
67,28.0475,16.3284,true,true
68,28.5204,16.1986,true,true
69,26.7302,15.6424,true,true
70,26.852,15.9972,true,true
71,26.5612,15.9829,true,true
72,26.7103,16.2564,true,true
73,27.0359,16.2023,true,true
74,27.2018,15.822,true,true
75,27.4212,16.0358,true,true
76,27.8195,15.8338,true,true
77,27.7915,16.1078,true,true
78,25.8883,16.3949,true,true
79,26.3288,16.3446,true,true
80,26.394,16.0799,true,true
81,26.1269,16.0227,true,true
82,26.1057,15.6791,true,true
83,22.1134,19.5347,true,true
84,21.758,19.0761,true,true
85,22.1743,19.0376,true,true
86,23.3294,19.4769,true,true
87,22.9218,19.5036,true,true
88,22.6552,18.9705,true,true
89,23.153,18.4573,true,true
90,23.3381,19.1022,true,true
91,22.8597,18.7474,true,true
92,21.9562,18.2882,true,true
93,21.0906,18.1105,true,true
94,22.3415,18.1478,true,true
95,22.7609,18.3299,true,true
96,23.0523,18.0795,true,true
97,23.2605,18.0099,true,true
98,23.7029,17.9465,true,true
99,24.008,17.7247,true,true
100,22.2346,17.3394,true,true
101,22.1842,17.5637,true,true
102,22.5403,17.6662,true,true
103,22.5745,17.3773,true,true
104,23.2132,17.4481,true,true
105,23.0219,17.6967,true,true
106,23.4929,17.7073,true,true
107,22.9249,17.396,true,true
108,23.7663,17.3686,true,true
109,23.9185,17.0057,true,true
110,23.7855,17.0648,true,true
111,24.1931,16.8131,true,true
112,23.4438,16.5745,true,true
113,23.7427,16.6422,true,true
114,23.1791,16.5633,true,true
115,22.8106,16.5652,true,true
116,22.6329,16.8566,true,true
117,22.2197,16.8367,true,true
118,22.6136,17.1412,true,true
119,23.591,16.8995,true,true
120,23.2654,16.9778,true,true
121,22.974,17.0014,true,true
122,23.422,17.217,true,true
123,23.2549,16.7547,true,true
124,19.472,17.4015,true,true
125,20.2692,17.596,true,true
126,20.3531,17.893,true,true
127,20.263,17.0269,true,true
128,21.2621,16.2849,true,true
129,21.2833,16.0028,true,true
130,21.013,16.7124,true,true
131,21.5063,16.6826,true,true
132,21.3814,16.9573,true,true
133,21.0726,17.5991,true,true
134,20.8781,17.7508,true,true
135,21.1043,17.2965,true,true
