src,dst,volume
5,1,1.5
7,1,1.271
8,1,1.096
11,1,1.868
12,1,1.579
13,1,1.457
15,1,1.041
16,1,1.136
176,1,2.451
177,1,1.23
460,1,1.12
467,1,1.188
468,1,1.041
469,1,1.24
479,1,4.457
480,1,5.792
513,1,1.784
514,1,2.892
3,2,1.02
4,2,1.196
5,2,6.525
6,2,4.124
7,2,6.793
8,2,5.923
9,2,3.735
10,2,5.475
11,2,12.238
12,2,9.103
13,2,8.65
14,2,5.474
15,2,7.12
16,2,7.322
17,2,2.221
35,2,1.096
37,2,2.455
38,2,1.478
39,2,2.288
40,2,1.511
41,2,1.478
43,2,1.819
46,2,2.549
47,2,1.566
48,2,2.059
49,2,1.93
51,2,1.046
83,2,1.576
84,2,2.278
86,2,1.446
87,2,2.63
94,2,5.011
95,2,2.633
101,2,1.231
102,2,2.101
104,2,2.883
105,2,1.395
106,2,1.082
107,2,1.425
108,2,1.106
110,2,2.708
112,2,1.489
114,2,1.912
115,2,2.115
116,2,1.947
118,2,2.052
119,2,1.615
120,2,2.873
121,2,1.849
122,2,1.654
123,2,4.258
132,2,2.577
133,2,2.261
134,2,1.134
136,2,1.734
137,2,3.277
138,2,2.217
139,2,4.945
142,2,1.646
143,2,3.081
144,2,2.684
145,2,2.523
146,2,1.852
147,2,4.46
148,2,1.145
149,2,1.077
150,2,2.23
152,2,2.388
153,2,2.506
154,2,4.126
161,2,1.549
163,2,1.265
164,2,2.114
169,2,1.046
170,2,3.193
171,2,1.391
172,2,1.337
176,2,11.81
177,2,5.148
179,2,4.867
180,2,2.339
182,2,1.186
183,2,1.312
184,2,2.095
185,2,4.551
190,2,3.45
192,2,2.54
198,2,1.478
202,2,2.019
203,2,2.58
204,2,1.063
205,2,1.909
206,2,1.511
207,2,1.133
217,2,9.351
220,2,1.317
226,2,6.01
227,2,2.999
229,2,2.953
232,2,1.125
234,2,1.372
236,2,1.304
237,2,1.153
239,2,1.591
244,2,1.159
259,2,1.131
260,2,1.487
262,2,1.628
271,2,1.006
273,2,1.819
276,2,1.07
277,2,1.172
278,2,1.461
279,2,1.501
280,2,1.316
282,2,1.073
297,2,1.285
301,2,1.123
304,2,1.381
