id,x,y,is_zone,through_flow_allowed
1,0.974312,1.85107,true,true
2,1.15575,1.93495,true,true
3,1.28811,1.19366,true,true
4,1.54535,1.10232,true,true
5,1.91445,0.707744,true,true
6,0.661762,0.649956,true,true
7,0.608324,1.06193,true,true
8,1.4826,0.306958,true,true
9,1.37634,1.56648,true,true
10,1.7821,1.03583,true,true
11,2.04804,0.994818,true,true
12,1.43848,0.812134,true,true
13,1.68019,0.817105,true,true
14,0.248549,1.05198,true,true
15,0.326221,1.36951,true,true
16,1.66217,0.280239,true,true
17,0.82394,1.65658,true,true
18,1.09672,1.54225,true,true
19,1.72493,1.42294,true,true
20,1.02278,0.927088,true,true
21,0.84631,1.23405,true,true
22,0.839475,0.85998,true,true
23,2.02816,1.41673,true,true
24,1.54784,1.25393,false,false
25,1.86101,1.22597,false,false
26,1.66466,1.25331,false,false
27,1.55343,1.26946,false,false
28,1.80447,1.21789,false,false
29,1.24523,1.52112,false,false
30,1.19863,1.62489,false,false
31,1.08119,1.89084,false,false
32,1.0613,1.88214,false,false
33,1.01097,1.99585,false,false
34,1.01408,2.03686,false,false
35,0.995439,2.02692,false,false
36,1.14208,1.75351,false,false
37,1.11101,1.82373,false,false
38,1.12158,1.74481,false,false
39,1.22597,1.50248,false,false
40,1.02029,2.02692,false,false
41,1.00103,2.01698,false,false
42,1.30178,1.30613,false,false
43,1.29743,1.33036,false,false
44,1.30115,1.29121,false,false
45,1.22659,1.07063,false,false
46,1.24647,1.06565,false,false
47,1.26387,1.4652,false,false
48,1.27506,1.48384,false,false
49,1.24088,1.46271,false,false
50,1.27941,1.30923,false,false
51,1.28127,1.2937,false,false
52,1.19614,0.950079,false,false
53,1.21603,0.944487,false,false
54,2.11018,1.19117,false,false
55,2.10832,1.17502,false,false
56,2.15368,1.18434,false,false
57,1.99461,1.19055,false,false
58,1.13835,0.712093,false,false
59,1.17937,0.794736,false,false
60,1.15948,0.807163,false,false
61,1.27816,1.19179,false,false
62,1.2763,1.18434,false,false
63,1.09299,1.33657,false,false
64,0.730113,1.38815,false,false
65,0.969963,1.33844,false,false
66,0.722656,1.37386,false,false
67,0.721414,1.39001,false,false
68,1.81689,0.810891,false,false
69,1.82062,0.817105,false,false
70,1.61308,1.05696,false,false
71,1.45712,1.10045,false,false
72,1.77713,0.868058,false,false
73,1.89705,0.730113,false,false
74,1.67895,1.01284,false,false
75,1.60998,1.04639,false,false
76,1.67584,1.00165,false,false
77,1.90824,0.705879,false,false
78,1.91569,0.699044,false,false
79,1.70505,0.954429,false,false
80,1.71685,0.951943,false,false
81,1.70878,0.964992,false,false
82,1.51863,1.07187,false,false
83,1.19925,2.11142,false,false
84,1.1396,2.08719,false,false
85,1.13587,2.09651,false,false
86,1.37075,0.231772,false,false
87,1.27879,0.272783,false,false
88,0.744405,1.45774,false,false
89,0.731977,1.46085,false,false
90,0.722656,1.40803,false,false
91,0.774852,1.45153,false,false
92,1.35149,0.748133,false,false
93,1.24026,0.777959,false,false
94,1.35211,0.905961,false,false
95,1.42543,1.02154,false,false
96,1.98591,0.645606,false,false
97,1.99088,0.654305,false,false
98,1.80944,0.924603,false,false
99,1.59941,0.28956,false,false
100,1.7299,0.254141,false,false
101,1.91631,0.983633,false,false
102,1.83678,0.342998,false,false
103,1.58139,0.294531,false,false
104,1.56897,0.254141,false,false
105,1.88338,0.408242,false,false
106,1.82497,0.210645,false,false
107,1.83926,0.308822,false,false
108,1.76346,0.955671,false,false
109,1.76905,0.0385251,false,false
110,1.58947,0.234258,false,false
111,1.86225,0.889806,false,false
112,1.96354,0.391465,false,false
113,1.54038,0.305094,false,false
114,1.50807,0.31255,false,false
115,1.82932,0.0,false,false
116,1.52609,0.296395,false,false
117,1.56027,0.142916,false,false
118,1.80447,0.130488,false,false
119,1.49129,0.17647,false,false
120,1.42791,0.378416,false,false
121,1.43599,0.415698,false,false
122,1.08865,0.582226,false,false
123,1.59258,0.981769,false,false
124,1.57642,0.920874,false,false
125,1.50621,0.666733,false,false
126,1.53417,0.769259,false,false
127,1.55281,0.835746,false,false
128,1.61122,0.813377,false,false
129,1.53603,0.994818,false,false
130,1.97534,0.451117,false,false
131,2.13069,0.788522,false,false
132,2.07911,0.81462,false,false
133,2.05177,0.76491,false,false
134,2.16921,0.98674,false,false
135,2.10956,0.872407,false,false
136,1.64167,1.58761,false,false
137,1.50062,1.62613,false,false
138,1.6193,1.51118,false,false
139,1.60625,1.46333,false,false
140,1.32415,1.6746,false,false
141,1.58761,1.39747,false,false
142,1.9393,1.0234,false,false
143,2.20214,1.0495,false,false
144,1.97162,1.08181,false,false
145,2.09092,1.06503,false,false
146,2.02008,1.07497,false,false
147,0.147887,1.49875,false,false
148,0.139809,1.48384,false,false
149,0.166528,1.47203,false,false
150,0.138566,1.28065,false,false
151,0.180819,1.44842,false,false
152,0.169013,1.413,false,false
153,0.206917,1.44034,false,false
154,0.236743,1.4683,false,false
155,0.216859,1.49316,false,false
156,0.195732,1.49875,false,false
157,0.233015,1.44966,false,false
158,0.173363,1.48881,false,false
159,0.907826,1.81441,false,false
160,0.970584,1.68019,false,false
161,1.01532,1.86163,false,false
162,1.07249,1.72431,false,false
163,1.02837,1.70443,false,false
164,0.152236,1.00725,false,false
165,0.146023,0.993575,false,false
166,0.282103,0.896641,false,false
167,0.28956,0.915282,false,false
168,0.0602732,1.09859,false,false
169,0.0484671,1.1309,false,false
170,0.0298259,1.12344,false,false
171,0.0248549,1.10915,false,false
172,0.036661,1.11971,false,false
173,0.304473,0.980526,false,false
174,0.878,1.87841,false,false
175,0.894777,1.96167,false,false
176,0.851902,1.9393,false,false
177,0.84631,1.94987,false,false
178,0.789765,1.92066,false,false
179,0.600246,0.953186,false,false
180,0.91901,1.98653,false,false
181,0.729492,1.87592,false,false
182,0.723899,1.88649,false,false
183,0.393329,1.44096,false,false
184,0.391465,1.42605,false,false
185,0.551779,1.41673,false,false
186,0.345483,1.19179,false,false
187,1.11971,1.09672,false,false
188,1.02154,1.11909,false,false
189,0.328706,1.09983,false,false
190,0.935166,1.07746,false,false
191,1.10977,0.343619,false,false
192,1.0029,0.388979,false,false
193,0.638771,0.621994,false,false
194,0.484671,0.789765,false,false
195,0.643742,0.605838,false,false
196,1.0495,0.367853,false,false
197,0.854388,0.475972,false,false
198,0.47535,0.779201,false,false
199,0.851281,0.469136,false,false
200,0.655548,1.06938,false,false
201,0.689724,1.15948,false,false
202,0.603974,0.961264,false,false
203,0.504555,1.21416,false,false
204,0.354804,1.2384,false,false
205,0.536866,1.25952,false,false
206,0.839475,1.02651,false,false
207,0.50704,1.21727,false,false
208,0.714579,1.32166,false,false
209,0.756832,1.14519,false,false
210,0.73322,1.12158,false,false
211,0.749997,1.13835,false,false
212,0.667976,1.85542,false,false
213,0.567935,1.64477,false,false
214,0.540594,0.857494,false,false
215,1.26139,1.80633,false,false
216,1.20111,1.94614,false,false
217,1.28935,1.74171,false,false
218,1.23094,1.87717,false,false
219,1.31482,1.67646,false,false
220,1.78148,0.750618,false,false
221,1.477,0.560478,false,false
222,2.19904,1.16197,false,false
223,2.0176,1.64602,false,false
224,0.0,1.06193,false,false
