id,x,y,is_zone,through_flow_allowed
1,1.21106,2.13814,true,true
2,0.753725,1.33595,true,true
3,0.981148,1.35335,true,true
4,1.24834,1.39995,true,true
5,0.805299,1.55467,true,true
6,1.32477,1.06006,true,true
7,1.59506,0.886699,true,true
8,1.58201,1.43724,true,true
9,1.75289,1.29246,true,true
10,1.05198,0.338027,true,true
11,1.25393,0.728249,true,true
12,1.99771,0.223694,true,true
13,1.56462,0.576634,true,true
14,1.8461,0.507662,true,true
15,1.90016,0.933302,true,true
16,0.367853,1.13711,true,true
17,0.380901,1.61246,true,true
18,0.241714,1.38318,true,true
19,0.920253,1.76283,true,true
20,1.221,1.83678,true,true
21,0.945729,2.14187,true,true
22,1.11226,1.62178,true,true
23,1.33968,1.54908,true,true
24,0.372824,0.9507,true,true
25,0.421291,0.275268,true,true
26,0.328706,0.557993,true,true
27,0.957535,0.617645,true,true
28,1.55157,0.270297,true,true
29,2.02692,1.23964,true,true
30,2.19717,1.12593,true,true
31,0.0236122,1.90326,true,true
32,0.628829,1.68143,true,true
33,0.196354,2.20898,true,true
34,0.928952,1.00725,true,true
35,2.06544,0.783551,true,true
36,0.444282,2.08533,true,true
37,0.933923,2.27795,false,false
38,0.933302,2.2792,false,false
39,0.0,1.54535,false,false
40,0.026719,2.20525,false,false
41,2.0729,0.0223694,false,false
42,1.95857,0.0646228,false,false
43,1.33098,0.196975,false,false
44,1.94862,1.42294,false,false
45,1.77029,1.51366,false,false
46,1.93433,1.39871,false,false
47,1.78396,1.53417,false,false
48,1.96851,1.41052,false,false
49,1.9536,1.38815,false,false
50,1.54784,0.901612,false,false
51,1.50434,0.836368,false,false
52,1.4857,0.77423,false,false
53,1.5932,0.956293,false,false
54,1.51677,0.822698,false,false
55,1.55219,0.875514,false,false
56,1.6137,0.976798,false,false
57,1.46768,0.774852,false,false
58,1.48757,0.809027,false,false
59,1.60563,0.944487,false,false
60,1.62613,0.966235,false,false
61,1.65534,0.986119,false,false
62,1.68268,1.02154,false,false
63,1.37696,0.620751,false,false
64,1.37199,0.6338,false,false
65,1.3664,0.625722,false,false
66,1.77153,1.54287,false,false
67,1.75973,1.52361,false,false
68,0.83761,0.67916,false,false
69,0.788522,0.38028,false,false
70,0.219966,1.53603,false,false
71,0.0969341,1.59444,false,false
72,0.170256,1.6311,false,false
73,0.227422,1.47203,false,false
74,0.597139,1.28624,false,false
75,0.252277,1.25642,false,false
76,0.458573,1.49875,false,false
77,0.87365,0.390843,false,false
78,0.993575,0.699666,false,false
79,0.567313,1.51304,false,false
80,0.23985,1.66776,false,false
81,0.577255,1.45836,false,false
82,0.258491,1.67833,false,false
83,0.666733,0.720792,false,false
84,0.735084,0.835746,false,false
85,0.653684,0.824562,false,false
86,0.533759,0.789765,false,false
87,0.531274,0.809649,false,false
88,0.645606,0.886699,false,false
89,0.919632,0.835746,false,false
90,0.917146,0.856873,false,false
91,0.65617,0.804678,false,false
92,0.735705,0.813377,false,false
93,0.452981,0.780444,false,false
94,0.813998,0.846931,false,false
95,0.817105,0.823319,false,false
96,0.639393,0.933302,false,false
97,0.663005,0.76056,false,false
98,0.7966,0.965613,false,false
99,0.680403,0.597761,false,false
100,0.674811,0.661141,false,false
101,2.25869,0.073322,false,false
102,0.786658,1.03024,false,false
103,2.33077,0.185169,false,false
104,0.97307,0.845067,false,false
105,0.976177,0.823319,false,false
106,0.755589,0.669218,false,false
107,0.518846,0.870543,false,false
108,0.512633,0.916525,false,false
109,0.969341,0.862465,false,false
110,2.11515,0.309444,false,false
111,2.02816,0.34424,false,false
112,2.00641,0.195111,false,false
113,1.96727,0.0913418,false,false
114,1.99212,0.201325,false,false
115,2.07787,0.0478457,false,false
116,2.12012,0.146644,false,false
117,2.31026,0.197597,false,false
118,2.1748,0.282103,false,false
119,2.01573,0.314415,false,false
120,1.97845,0.224937,false,false
121,1.9623,0.213131,false,false
122,1.73239,0.214374,false,false
123,1.80695,0.160936,false,false
124,1.91321,0.17212,false,false
125,1.89332,0.121168,false,false
126,1.94925,0.218723,false,false
127,1.93495,0.225558,false,false
128,1.85542,0.523817,false,false
129,1.82684,0.425019,false,false
130,1.76656,0.441175,false,false
131,1.75103,1.4857,false,false
132,1.83119,0.149751,false,false
133,1.86971,0.407621,false,false
134,2.24067,0.994196,false,false
135,2.33015,0.240471,false,false
136,2.35376,0.269676,false,false
137,2.34755,0.230529,false,false
138,0.797843,0.304473,false,false
139,0.789765,0.369095,false,false
140,1.05074,0.401407,false,false
141,1.27133,1.24647,false,false
142,1.12966,0.283967,false,false
143,0.734463,0.17647,false,false
144,1.05696,0.337405,false,false
145,1.16259,1.20795,false,false
146,1.17253,0.34859,false,false
147,2.08719,0.62448,false,false
148,2.13566,0.615159,false,false
149,2.09589,0.63815,false,false
150,1.89581,0.735705,false,false
151,1.88587,0.741919,false,false
152,1.88524,0.678539,false,false
153,1.89643,0.745647,false,false
154,2.1922,1.28562,false,false
155,2.1021,1.32974,false,false
156,2.13007,1.29618,false,false
157,2.09154,1.31545,false,false
158,1.8287,1.19552,false,false
159,1.87903,1.27692,false,false
160,1.92004,1.34465,false,false
161,2.05923,1.05447,false,false
162,1.74295,1.06068,false,false
163,1.56337,0.776095,false,false
164,1.64974,0.851281,false,false
165,1.82559,0.981769,false,false
166,1.64726,0.690966,false,false
167,1.64664,0.753725,false,false
168,1.79825,1.18558,false,false
169,1.7473,1.09921,false,false
170,1.76159,0.751861,false,false
171,1.56772,0.77423,false,false
172,1.70132,0.911554,false,false
173,1.71437,0.879864,false,false
174,1.73052,0.833882,false,false
175,1.86288,0.904097,false,false
176,1.8113,1.20671,false,false
177,1.87282,0.872407,false,false
178,1.88587,0.751861,false,false
179,1.88214,0.80592,false,false
180,1.76905,1.09797,false,false
181,1.75786,1.08181,false,false
182,1.80757,1.04266,false,false
183,2.04556,1.0613,false,false
184,2.05239,1.07684,false,false
185,1.81689,1.17439,false,false
186,2.08595,1.06068,false,false
187,1.77526,1.05633,false,false
188,1.86225,1.17502,false,false
189,1.85045,1.157,false,false
190,1.79266,1.03148,false,false
191,1.88152,0.913418,false,false
192,1.89519,0.807785,false,false
193,1.61681,1.6224,false,false
194,1.52298,1.6485,false,false
195,1.82062,0.74689,false,false
196,1.42294,0.927709,false,false
197,1.52982,1.61868,false,false
198,1.51926,1.63856,false,false
199,1.6106,1.61246,false,false
200,1.54349,1.63172,false,false
201,1.61743,0.544323,false,false
202,1.477,0.8693,false,false
203,1.5031,0.486535,false,false
204,1.51677,1.65037,false,false
205,1.73363,0.44366,false,false
206,1.68765,0.473486,false,false
207,1.87592,0.605838,false,false
208,1.89643,1.33782,false,false
209,1.86412,1.28686,false,false
210,1.56275,0.392086,false,false
211,1.71499,0.444903,false,false
212,1.90886,1.35397,false,false
213,1.64291,0.296395,false,false
214,1.65409,0.411349,false,false
215,1.59071,0.352318,false,false
216,1.88711,1.30613,false,false
217,1.28686,1.94055,false,false
218,1.3229,2.00517,false,false
219,1.29991,2.01884,false,false
220,1.24523,2.00703,false,false
221,1.22721,1.97907,false,false
222,1.33782,1.68703,false,false
223,1.32974,1.03645,false,false
224,1.41362,1.66776,false,false
225,1.73487,1.07932,false,false
226,1.26636,1.45588,false,false
227,0.997303,0.405756,false,false
228,1.18931,1.65223,false,false
229,0.282103,1.692,false,false
230,1.38193,1.37945,false,false
231,1.25269,1.5205,false,false
232,1.24834,1.36143,false,false
233,1.50372,1.65347,false,false
234,1.23342,1.27257,false,false
235,1.45339,1.66963,false,false
236,1.41673,1.68019,false,false
237,1.51553,1.19366,false,false
238,1.35149,1.76221,false,false
239,1.33719,1.70008,false,false
240,0.493991,1.79142,false,false
241,0.257248,1.21106,false,false
242,0.396436,1.74544,false,false
243,0.202568,1.6485,false,false
244,0.674811,1.83429,false,false
245,0.212509,1.58326,false,false
246,0.259112,1.19117,false,false
247,0.272161,1.90202,false,false
248,0.614538,1.14022,false,false
249,0.766774,1.16818,false,false
250,0.766774,1.17626,false,false
251,0.305094,1.58326,false,false
252,0.630072,1.01159,false,false
253,0.815862,1.36764,false,false
254,0.845067,1.46644,false,false
