src	dst	volume
2	1	7.26
3	1	6.417
4	1	12.342
5	1	9.327
6	1	14.793
7	1	32.934
8	1	23.562
9	1	30.81
10	1	4.83
11	1	2.643
12	1	3.66
13	1	1.296
14	1	2.331
15	1	8.256
16	1	6.867
17	1	6.717
18	1	6.297
19	1	6.681
20	1	6.504
21	1	1.989
22	1	2.829
23	1	4.485
24	1	2.919
25	1	2.388
26	1	4.857
27	1	1.923
28	1	6.546
29	1	1.356
30	1	2.76
31	1	2.433
32	1	0.75
33	1	0.438
34	1	3.261
35	1	2.889
36	1	1.173
37	1	9.993
38	1	10.305
39	1	21.009
40	1	10.599
41	1	4.947
42	1	7.935
43	1	4.488
44	1	6.267
45	1	4.092
46	1	7.95
47	1	7.41
48	1	6.813
49	1	2.388
50	1	15.504
51	1	11.214
52	1	7.044
53	1	2.343
54	1	1.197
55	1	2.34
56	1	4.29
57	1	0.861
58	1	1.551
59	1	1.02
60	1	2.229
61	1	2.982
62	1	4.959
63	1	1.77
64	1	3.777
65	1	2.85
66	1	3.468
67	1	5.031
68	1	4.878
69	1	1.875
70	1	4.29
71	1	1.011
72	1	0.435
73	1	3.075
74	1	0.87
75	1	5.061
76	1	3.342
77	1	0.297
78	1	14.184
79	1	14.349
80	1	5.463
81	1	7.164
82	1	8.973
83	1	1.923
84	1	2.289
85	1	4.146
86	1	1.839
87	1	2.04
88	1	2.451
89	1	1.683
90	1	1.422
91	1	2.205
92	1	4.65
93	1	1.293
94	1	1.482
95	1	0.936
96	1	6.204
97	1	1.275
98	1	0.939
1	2	7.155
3	2	0.789
4	2	2.274
5	2	1.857
6	2	2.457
7	2	4.752
8	2	4.86
9	2	3.633
10	2	1.215
11	2	0.399
12	2	1.188
13	2	0.522
14	2	0.399
15	2	2.31
16	2	1.392
17	2	1.353
18	2	1.236
19	2	1.08
20	2	1.209
21	2	0.477
22	2	0.408
23	2	0.273
24	2	0.942
25	2	0.648
26	2	1.419
27	2	0.468
28	2	1.557
29	2	0.423
30	2	0.432
31	2	0.438
32	2	0.234
33	2	0.069
34	2	0.42
35	2	0.816
36	2	0.207
37	2	1.494
38	2	1.113
39	2	2.241
40	2	2.52
41	2	1.677
42	2	3.651
43	2	1.086
44	2	1.692
45	2	0.396
46	2	1.335
47	2	1.611
48	2	1.125
49	2	0.759
50	2	2.427
51	2	1.8
52	2	1.551
53	2	0.318
54	2	0.207
55	2	0.36
56	2	0.534
57	2	0.168
58	2	0.273
59	2	0.309
60	2	0.393
61	2	0.771
62	2	1.068
63	2	0.585
64	2	0.711
65	2	0.849
66	2	0.648
67	2	1.716
68	2	0.993
69	2	0.648
70	2	0.723
71	2	0.216
72	2	0.045
