id,x,y,is_zone,through_flow_allowed
1,1.21106,2.65326,true,true
2,0.753725,1.85107,true,true
3,0.981148,1.86847,true,true
4,1.24834,1.91507,true,true
5,0.805299,2.06979,true,true
6,1.32477,1.57518,true,true
7,1.59506,1.40182,true,true
8,1.58201,1.95235,true,true
9,1.75289,1.80757,true,true
10,1.05198,0.853145,true,true
11,1.25393,1.24337,true,true
12,1.99771,0.738812,true,true
13,1.56462,1.09175,true,true
14,1.8461,1.02278,true,true
15,1.90016,1.44842,true,true
16,1.3751,3.47161,true,true
17,1.77775,3.29017,true,true
18,1.19366,3.88607,true,true
19,1.7299,3.85935,true,true
20,2.06855,3.55674,true,true
21,2.86764,2.57808,true,true
22,3.24916,3.13918,true,true
23,3.34361,2.53582,true,true
24,1.56648,2.34009,true,true
25,1.64042,2.62716,true,true
26,1.56337,2.78996,true,true
27,1.96416,2.05923,true,true
28,2.24502,2.33823,true,true
29,3.09195,1.85107,true,true
30,3.27339,1.93495,true,true
31,3.40574,1.19366,true,true
32,3.66299,1.10232,true,true
33,4.03209,0.707744,true,true
34,2.7794,0.649956,true,true
35,2.72596,1.06193,true,true
36,3.60023,0.306958,true,true
37,0.367853,1.65223,true,true
38,0.380901,2.12758,true,true
39,0.241714,1.89829,true,true
40,0.920253,2.27795,true,true
41,1.221,2.3519,true,true
42,0.945729,2.65699,true,true
43,1.11226,2.1369,true,true
44,1.33968,2.0642,true,true
45,0.372824,1.46582,true,true
46,0.421291,0.790386,true,true
47,0.328706,1.07311,true,true
48,0.957535,1.13276,true,true
49,1.55157,0.785415,true,true
50,2.02692,1.75476,true,true
51,2.19717,1.64105,true,true
52,2.01946,3.19883,true,true
53,2.31648,3.02671,true,true
54,2.52899,2.90802,true,true
55,2.54701,3.52256,true,true
56,2.81668,3.30135,true,true
57,3.26469,2.1804,true,true
58,3.1255,2.41093,true,true
59,1.84858,2.73155,true,true
60,1.77526,2.21457,true,true
61,1.98031,2.73528,true,true
62,2.163,2.66817,true,true
63,1.98591,2.32891,true,true
64,2.65699,2.36432,true,true
65,2.52837,2.52464,true,true
66,2.35749,2.63586,true,true
67,2.2444,1.96354,true,true
68,2.50848,1.65782,true,true
69,2.67998,1.55157,true,true
70,3.49398,1.56648,true,true
71,3.89974,1.03583,true,true
72,4.16568,0.994818,true,true
73,3.55612,0.812134,true,true
74,3.79783,0.817105,true,true
75,2.36619,1.05198,true,true
76,2.44386,1.36951,true,true
77,3.77981,0.280239,true,true
78,0.0236122,2.41838,true,true
79,0.628829,2.19655,true,true
80,0.196354,2.7241,true,true
81,0.928952,1.52236,true,true
82,2.06544,1.29867,true,true
83,2.43889,3.30197,true,true
84,2.82352,2.78064,true,true
85,2.977,3.03292,true,true
86,1.84734,2.46312,true,true
87,2.63773,2.07601,true,true
88,2.94158,1.65658,true,true
89,3.21436,1.54225,true,true
90,3.84257,1.42294,true,true
91,3.14042,0.927088,true,true
