src,dst,volume
2,1,56.31
3,1,75.14
4,1,67.95
5,1,73.2
6,1,3.24
7,1,7.21
8,1,9.11
9,1,41.79
10,1,31.96
11,1,73.61
12,1,2.89
13,1,11.97
14,1,92.6
15,1,27.61
16,1,11.64
17,1,29.77
18,1,10.54
19,1,1.27
20,1,3.13
21,1,12.33
22,1,22.18
23,1,40.44
24,1,48.31
25,1,3.09
26,1,6.43
27,1,5.44
28,1,6.23
29,1,9.21
30,1,7.51
31,1,28.6
32,1,5.09
33,1,7.71
34,1,19.02
35,1,5.08
36,1,2.87
37,1,15.22
38,1,2.51
1,2,55.61
3,2,96.08
4,2,67.21
5,2,58.11
6,2,4.08
7,2,9.19
8,2,11.86
9,2,43.13
10,2,29.3
11,2,64.93
12,2,3.24
13,2,13.57
14,2,64.14
15,2,25.13
16,2,13.53
17,2,33.63
18,2,12.26
19,2,1.86
20,2,4.12
21,2,10.35
22,2,23.46
23,2,36.18
24,2,50.95
25,2,3.42
26,2,7.66
27,2,6.43
28,2,7.09
29,2,10.84
30,2,9.62
31,2,28.24
32,2,6.08
33,2,9.43
34,2,20.66
35,2,6.01
36,2,4.0
37,2,15.92
38,2,3.84
1,3,75.59
2,3,97.8
4,3,91.31
5,3,103.84
6,3,3.67
7,3,5.43
8,3,7.8
9,3,36.29
10,3,36.19
11,3,76.13
12,3,2.06
13,3,13.04
14,3,94.52
15,3,25.68
16,3,12.87
17,3,37.49
18,3,9.18
19,3,1.17
20,3,2.04
21,3,14.35
22,3,19.71
23,3,35.13
24,3,55.27
25,3,3.55
26,3,4.56
27,3,6.24
28,3,4.87
29,3,9.72
30,3,4.49
31,3,26.4
32,3,3.91
33,3,9.16
34,3,21.37
35,3,4.01
36,3,2.48
37,3,22.31
38,3,1.66
1,4,67.54
2,4,67.66
3,4,90.27
5,4,70.75
6,4,3.79
7,4,9.45
8,4,11.09
9,4,40.87
10,4,32.14
11,4,83.21
12,4,2.79
13,4,12.54
14,4,105.14
15,4,31.12
16,4,13.42
17,4,37.36
18,4,13.13
19,4,1.5
20,4,3.65
21,4,12.93
22,4,21.77
23,4,42.98
24,4,52.03
25,4,3.14
26,4,7.03
27,4,6.09
28,4,6.83
29,4,9.11
30,4,7.02
31,4,34.61
32,4,5.9
33,4,9.58
34,4,19.42
35,4,5.13
36,4,2.69
37,4,24.09
38,4,3.4
1,5,74.33
2,5,59.73
3,5,104.68
4,5,72.25
6,5,4.46
7,5,11.1
8,5,15.52
9,5,44.24
10,5,34.76
11,5,87.99
12,5,3.18
13,5,14.56
14,5,83.38
15,5,28.02
16,5,15.46
17,5,29.35
18,5,15.03
19,5,2.09
20,5,4.72
21,5,13.78
22,5,25.11
23,5,47.73
24,5,59.11
25,5,3.46
