src	dst	volume
2	1	22.5
3	1	18.25
4	1	21.73
5	1	15.18
6	1	3.74
7	1	0.19
8	1	0.2
9	1	0.85
10	1	0.36
11	1	0.16
12	1	1.03
13	1	11.5
14	1	20.39
15	1	19.37
16	1	11.39
17	1	19.96
18	1	0.46
19	1	0.06
20	1	10.38
21	1	13.26
22	1	12.39
23	1	10.91
24	1	0.03
25	1	0.47
26	1	3.77
1	2	22.59
3	2	42.0
4	2	86.27
5	2	43.69
6	2	38.69
7	2	5.29
8	2	1.46
9	2	5.02
10	2	4.27
11	2	1.42
12	2	7.45
13	2	20.79
14	2	53.56
15	2	45.39
16	2	36.37
17	2	43.24
18	2	13.84
19	2	0.13
20	2	66.15
21	2	27.94
22	2	51.59
23	2	29.21
24	2	0.28
25	2	14.14
26	2	11.12
1	3	18.32
2	3	41.82
4	3	68.57
5	3	41.76
6	3	28.41
7	3	4.72
8	3	1.4
9	3	5.13
10	3	3.84
11	3	1.5
12	3	8.24
13	3	23.93
14	3	59.98
15	3	40.48
16	3	26.67
17	3	49.51
18	3	11.66
19	3	0.15
20	3	69.0
21	3	26.72
22	3	45.06
23	3	30.82
24	3	0.24
25	3	11.99
26	3	11.63
1	4	21.82
2	4	86.27
3	4	68.8
5	4	68.93
6	4	41.51
7	4	7.82
8	4	2.08
9	4	7.08
10	4	5.26
11	4	2.32
12	4	12.0
13	4	39.21
14	4	73.98
15	4	82.21
16	4	49.49
17	4	80.31
18	4	19.2
19	4	0.22
20	4	124.17
21	4	41.35
22	4	52.2
23	4	46.89
24	4	0.34
25	4	17.61
26	4	20.56
1	5	15.22
2	5	43.27
3	5	41.65
4	5	68.44
6	5	25.87
7	5	5.59
8	5	1.61
9	5	5.71
10	5	4.48
11	5	1.94
12	5	10.84
13	5	20.23
14	5	39.57
15	5	29.51
16	5	22.8
17	5	31.38
18	5	13.22
19	5	0.1
20	5	72.35
21	5	26.73
22	5	41.17
23	5	24.4
24	5	0.23
25	5	9.81
26	5	9.53
1	6	3.73
2	6	38.19
3	6	28.1
4	6	41.0
5	6	25.59
7	6	0.98
8	6	0.63
9	6	2.9
10	6	1.32
11	6	0.65
12	6	4.54
13	6	20.32
14	6	38.7
15	6	34.42
16	6	15.79
17	6	25.81
18	6	1.77
19	6	0.12
20	6	22.75
21	6	26.4
22	6	17.02
23	6	15.32
24	6	0.08
25	6	1.58
26	6	7.04
1	7	0.1
2	7	3.04
3	7	2.71
4	7	4.51
5	7	3.21
6	7	0.56
8	7	12.42
9	7	63.91
10	7	19.22
11	7	12.34
12	7	105.2
13	7	1.61
14	7	4.69
15	7	3.38
16	7	1.97
17	7	3.58
19	7	2.94
20	7	1.01
21	7	2.35
22	7	2.4
23	7	2.04
24	7	0.94
26	7	0.74
1	8	0.31
2	8	2.14
3	8	2.09
4	8	3.05
5	8	2.39
6	8	0.98
7	8	9.16
9	8	20.27
10	8	11.04
11	8	6.59
12	8	45.12
13	8	0.99
14	8	2.37
15	8	2.5
16	8	1.59
17	8	2.73
18	8	0.37
19	8	1.8
20	8	1.78
21	8	1.38
22	8	1.76
23	8	1.31
24	8	2.06
25	8	0.14
26	8	0.44
1	9	1.22
2	9	4.8
3	9	5.25
4	9	7.39
5	9	5.23
6	9	3.9
7	9	53.9
8	9	23.43
10	9	53.64
11	9	38.51
12	9	217.46
13	9	1.81
14	9	4.48
15	9	5.7
16	9	3.99
17	9	5.55
18	9	1.75
19	9	3.02
20	9	6.87
21	9	2.74
22	9	4.61
23	9	2.78
24	9	3.51
25	9	0.65
26	9	1.11
1	10	0.52
2	10	4.47
3	10	4.21
4	10	5.71
5	10	4.72
6	10	1.76
7	10	14.17
8	10	11.69
9	10	54.59
11	10	15.81
12	10	127.52
13	10	2.05
14	10	4.16
15	10	5.15
16	10	3.13
17	10	4.9
18	10	0.59
19	10	4.85
20	10	3.8
21	10	2.77
22	10	3.14
23	10	2.22
24	10	2.81
25	10	0.33
26	10	0.71
1	11	0.21
2	11	1.17
3	11	1.31
4	11	2.05
5	11	1.58
6	11	0.77
7	11	10.4
8	11	8.21
9	11	40.76
10	11	17.42
12	11	57.05
13	11	0.51
14	11	1.71
15	11	1.58
16	11	1.04
17	11	2.04
18	11	0.33
19	11	1.4
20	11	0.95
21	11	0.81
22	11	1.27
23	11	0.95
24	11	0.83
25	11	0.08
26	11	0.37
1	12	1.52
2	12	9.07
3	12	10.47
4	12	15.09
5	12	13.38
6	12	6.58
7	12	77.55
8	12	44.02
9	12	205.15
10	12	117.92
11	12	47.93
13	12	3.83
14	12	11.87
15	12	12.94
16	12	8.83
17	12	15.84
18	12	2.98
19	12	20.25
20	12	7.98
21	12	5.9
22	12	9.96
23	12	7.54
24	12	17.55
25	12	0.67
26	12	2.57
1	13	11.19
2	13	17.68
3	13	21.0
4	13	34.58
5	13	16.79
6	13	19.17
7	13	2.2
8	13	1.11
9	13	2.58
10	13	2.42
11	13	0.86
12	13	4.32
14	13	21.33
15	13	21.77
16	13	16.87
17	13	16.94
18	13	8.16
19	13	0.73
20	13	41.01
21	13	9.22
22	13	22.57
23	13	11.87
24	13	0.78
25	13	7.57
26	13	5.36
1	14	19.89
2	14	47.42
3	14	54.28
4	14	67.27
5	14	34.29
6	14	36.77
7	14	6.44
8	14	2.69
9	14	6.21
10	14	5.0
11	14	2.84
12	14	13.7
13	14	21.34
15	14	41.67
16	14	35.28
17	14	38.77
18	14	22.11
19	14	1.76
20	14	90.55
21	14	28.14
22	14	33.31
23	14	20.52
24	14	1.56
25	14	16.46
26	14	11.08
1	15	19.45
2	15	45.27
3	15	40.59
4	15	82.07
5	15	29.73
6	15	34.85
7	15	5.87
8	15	1.72
9	15	6.06
10	15	4.95
11	15	1.92
12	15	10.67
13	15	25.96
14	15	47.57
16	15	26.04
17	15	42.41
18	15	14.5
19	15	0.12
20	15	87.75
21	15	31.1
22	15	48.57
23	15	27.81
24	15	0.31
25	15	13.75
26	15	10.75
1	16	11.08
2	16	32.58
3	16	24.21
4	16	45.05
5	16	20.17
6	16	14.94
7	16	2.7
8	16	1.66
9	16	4.74
10	16	3.46
11	16	1.55
12	16	9.17
13	16	16.95
14	16	35.46
15	16	23.18
17	16	28.76
18	16	9.32
19	16	0.94
20	16	54.55
21	16	19.81
22	16	25.42
23	16	18.59
24	16	0.96
25	16	8.09
26	16	7.49
1	17	19.53
2	17	39.95
3	17	46.22
4	17	75.29
5	17	28.49
6	17	24.69
7	17	4.91
8	17	3.06
9	17	7.62
10	17	5.83
11	17	3.37
12	17	18.0
13	17	16.93
14	17	38.76
15	17	38.87
16	17	28.62
18	17	11.92
19	17	1.42
20	17	72.83
21	17	23.53
22	17	32.54
23	17	18.95
24	17	1.72
25	17	11.83
26	17	11.8
1	18	0.46
2	18	13.96
3	18	11.75
4	18	19.36
5	18	13.32
6	18	1.77
8	18	0.25
9	18	1.3
10	18	0.41
11	18	0.24
12	18	2.04
13	18	7.38
14	18	20.0
15	18	14.62
16	18	8.43
17	18	10.77
19	18	0.06
20	18	4.92
21	18	10.39
22	18	8.41
23	18	6.43
24	18	0.01
26	18	2.49
1	19	0.13
2	19	1.47
3	19	1.29
4	19	1.98
5	19	1.17
6	19	0.38
7	19	2.61
8	19	0.57
9	19	2.55
10	19	1.95
11	19	1.15
12	19	6.11
13	19	0.73
14	19	1.75
15	19	1.63
16	19	0.95
17	19	1.41
18	19	0.08
20	19	0.83
21	19	1.01
22	19	1.05
23	19	0.83
24	19	0.48
25	19	0.05
26	19	0.28
1	20	10.2
2	20	65.25
3	20	67.93
4	20	122.38
5	20	71.2
6	20	22.21
7	20	1.4
8	20	1.52
9	20	5.56
10	20	3.4
11	20	0.98
12	20	6.56
13	20	41.24
14	20	91.03
15	20	86.5
16	20	54.74
17	20	73.22
18	20	5.45
19	20	0.73
21	20	59.23
22	20	54.75
23	20	37.35
24	20	0.72
25	20	5.89
26	20	11.96
1	21	12.93
2	21	24.39
3	21	23.91
4	21	37.18
5	21	22.82
6	21	25.01
7	21	3.22
8	21	1.55
9	21	3.79
10	21	3.33
11	21	1.33
12	21	6.76
13	21	9.21
14	21	28.11
15	21	26.85
16	21	19.7
17	21	23.52
18	21	11.49
19	21	1.01
20	21	58.91
22	21	27.72
23	21	16.69
24	21	1.06
25	21	11.41
26	21	7.74
1	22	12.04
2	22	46.36
3	22	40.92
4	22	47.54
5	22	36.6
6	22	16.08
7	22	3.29
8	22	1.8
9	22	5.11
10	22	3.4
11	22	1.79
12	22	10.07
13	22	22.7
14	22	33.49
15	22	43.42
16	22	25.45
17	22	32.71
18	22	9.29
19	22	1.02
20	22	54.58
21	22	27.89
23	22	16.88
24	22	0.92
25	22	8.31
26	22	9.84
1	23	10.91
2	23	27.87
3	23	29.82
4	23	45.19
5	23	23.42
6	23	15.36
7	23	3.56
8	23	0.86
9	23	2.86
10	23	2.02
11	23	1.14
12	23	5.81
13	23	14.43
14	23	24.1
15	23	26.54
16	23	21.32
17	23	21.44
18	23	6.37
19	23	0.08
20	23	38.3
21	23	19.83
22	23	19.24
24	23	0.12
25	23	5.48
26	23	5.38
1	24	0.03
2	24	0.23
3	24	0.21
4	24	0.28
5	24	0.19
6	24	0.09
7	24	0.72
8	24	1.5
9	24	7.59
10	24	2.03
11	24	1.45
12	24	12.57
13	24	0.1
14	24	0.21
15	24	0.25
16	24	0.14
17	24	0.22
18	24	0.03
19	24	0.15
20	24	0.21
21	24	0.13
22	24	0.15
23	24	0.1
25	24	0.02
26	24	0.03
1	25	0.49
2	25	15.0
3	25	12.71
4	25	18.68
5	25	10.41
6	25	1.67
8	25	0.09
9	25	0.43
10	25	0.2
11	25	0.05
12	25	0.41
13	25	7.26
14	25	15.79
15	25	14.57
16	25	7.76
17	25	11.36
19	25	0.03
20	25	5.65
21	25	10.96
22	25	7.97
23	25	5.8
24	25	0.01
26	25	1.75
1	26	3.68
2	26	10.55
3	26	11.04
4	26	19.59
5	26	8.96
6	26	6.77
7	26	1.02
8	26	0.45
9	26	1.21
10	26	0.77
11	26	0.52
12	26	2.61
13	26	5.4
14	26	11.14
15	26	10.16
16	26	7.49
17	26	11.87
18	26	2.76
19	26	0.27
20	26	11.89
21	26	7.77
22	26	9.83
23	26	4.96
24	26	0.21
25	26	1.83
