init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type	is_zone	through_flow_allowed
1	170	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
1	269	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
1	329	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
1	348	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
2	204	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
2	209	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
2	219	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
2	221	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
3	155	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
3	161	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
3	195	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
3	346	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
4	298	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
4	299	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
4	303	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
4	312	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
5	264	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
5	270	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
5	272	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
5	273	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
6	68	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
6	69	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
6	70	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
6	71	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
7	86	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
7	87	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
7	88	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
7	89	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
8	99	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
8	117	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
8	121	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
8	134	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
9	83	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
9	84	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
9	95	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
9	97	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
10	172	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
10	175	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
10	238	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
10	242	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
11	27	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
11	186	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
11	191	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
11	192	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
12	37	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
12	38	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
12	64	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
12	65	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
13	205	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
13	206	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
13	226	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
13	315	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
14	255	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
14	256	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
14	259	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
14	260	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
15	318	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
15	319	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
15	320	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
15	323	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
16	155	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
16	277	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
16	282	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
16	285	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
17	140	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
17	142	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
17	149	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
17	151	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
18	145	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
18	146	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
18	156	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
18	157	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
19	46	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
19	49	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
19	334	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
19	337	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
20	209	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
20	212	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
20	215	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
20	324	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
21	205	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
21	314	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
21	315	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
21	349	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
22	352	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
22	355	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
22	356	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
22	357	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
23	166	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
23	351	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
23	352	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
23	353	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
24	238	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
24	239	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
24	242	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
24	243	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
