id,x,y,is_zone,through_flow_allowed
1,1.23715,2.56378,true,true
2,0.556129,1.89829,true,true
3,0.861844,1.82124,true,true
4,1.21292,2.11888,true,true
5,1.19366,1.24585,true,true
6,1.49129,1.66963,true,true
7,2.28852,1.39871,true,true
8,1.7473,0.553643,true,true
9,1.6659,0.290802,true,true
10,1.26387,0.431233,true,true
11,2.36122,0.533138,true,true
12,2.1922,0.187655,true,true
13,0.640635,2.20587,true,true
14,1.63607,2.26552,true,true
15,0.828911,1.44718,true,true
16,1.07311,1.58201,true,true
17,1.76159,1.53479,true,true
18,2.00766,1.57207,true,true
19,1.67771,0.971206,true,true
20,0.30323,1.8579,true,true
21,0.881107,2.15244,true,true
22,1.51988,1.96851,true,true
23,1.8666,1.99399,true,true
24,1.07311,0.603974,true,true
25,0.232393,2.39477,true,true
26,2.14063,2.21084,true,true
27,2.32083,0.462301,false,false
28,2.30467,0.464787,false,false
29,2.29349,0.390222,false,false
30,2.30156,0.408863,false,false
31,2.30716,1.60066,false,false
32,2.29411,0.431854,false,false
33,2.30902,0.42999,false,false
34,2.29784,1.60998,false,false
35,2.26615,1.56959,false,false
36,2.27547,1.56027,false,false
37,2.2183,0.274647,false,false
38,2.2649,0.342998,false,false
39,2.26366,1.564,false,false
40,2.28106,0.395814,false,false
41,2.25496,0.350454,false,false
42,2.37116,1.68703,false,false
43,2.37302,1.87717,false,false
44,2.37986,1.88214,false,false
45,2.37737,1.90886,false,false
46,1.57456,1.02589,false,false
47,1.56213,1.05074,false,false
48,1.54225,0.964992,false,false
49,1.57642,1.01657,false,false
50,1.47887,1.00041,false,false
51,1.53168,0.961264,false,false
52,1.55219,1.06068,false,false
53,1.48694,1.05012,false,false
54,1.48011,1.03583,false,false
55,1.01781,0.942001,false,false
56,1.01657,0.953186,false,false
57,1.47762,1.0147,false,false
58,2.06606,2.49854,false,false
59,2.06793,2.50351,false,false
60,2.06171,2.50724,false,false
61,2.05923,2.50227,false,false
62,2.07104,2.51842,false,false
63,2.08222,0.0,false,false
64,2.29038,0.197597,false,false
65,2.1978,0.233636,false,false
66,2.05799,2.48363,false,false
67,2.06296,2.46996,false,false
68,1.6746,1.6659,false,false
69,1.60811,1.67833,false,false
70,1.55219,1.70194,false,false
71,1.48881,1.70691,false,false
72,2.41155,0.626344,false,false
73,2.44386,0.644985,false,false
74,2.40223,0.637528,false,false
75,2.31834,0.768017,false,false
76,2.41963,0.7966,false,false
77,2.44137,0.699666,false,false
78,2.47058,0.651199,false,false
79,2.38172,0.600867,false,false
80,2.37116,0.610809,false,false
81,1.62054,0.198839,false,false
82,1.57829,0.216238,false,false
83,1.65844,0.25787,false,false
84,1.65223,0.282103,false,false
85,1.54908,0.226801,false,false
86,2.32891,1.51491,false,false
87,2.37613,1.47452,false,false
88,2.32269,1.40182,false,false
89,2.38856,1.37386,false,false
90,1.67149,0.175848,false,false
91,1.67398,0.163421,false,false
92,1.61557,0.18579,false,false
