init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type	is_zone	through_flow_allowed
1	547	49500	0.86267	0.0	0.15	4	0	0	3	true	true
2	548	49500	0.86267	0.0	0.15	4	0	0	3	true	true
3	549	49500	0.86267	0.0	0.15	4	0	0	3	true	true
4	550	49500	0.86267	0.0	0.15	4	0	0	3	true	true
5	551	49500	0.86267	0.0	0.15	4	0	0	3	true	true
6	552	49500	0.86267	0.0	0.15	4	0	0	3	true	true
7	553	49500	0.86267	0.0	0.15	4	0	0	3	true	true
8	554	49500	0.86267	0.0	0.15	4	0	0	3	true	true
9	555	49500	0.86267	0.0	0.15	4	0	0	3	true	true
10	556	49500	0.86267	0.0	0.15	4	0	0	3	true	true
11	557	49500	0.86267	0.0	0.15	4	0	0	3	true	true
12	558	49500	0.86267	0.0	0.15	4	0	0	3	true	true
13	559	49500	0.86267	0.0	0.15	4	0	0	3	true	true
14	560	49500	0.86267	0.0	0.15	4	0	0	3	true	true
15	561	49500	0.86267	0.0	0.15	4	0	0	3	true	true
16	562	49500	0.86267	0.0	0.15	4	0	0	3	true	true
17	563	49500	0.86267	0.0	0.15	4	0	0	3	true	true
18	564	49500	0.86267	0.0	0.15	4	0	0	3	true	true
19	565	49500	0.86267	0.0	0.15	4	0	0	3	true	true
20	566	49500	0.86267	0.0	0.15	4	0	0	3	true	true
21	567	49500	0.86267	0.0	0.15	4	0	0	3	true	true
22	568	49500	0.86267	0.0	0.15	4	0	0	3	true	true
23	569	49500	0.86267	0.0	0.15	4	0	0	3	true	true
24	570	49500	0.86267	0.0	0.15	4	0	0	3	true	true
25	571	49500	0.86267	0.0	0.15	4	0	0	3	true	true
26	572	49500	0.86267	0.0	0.15	4	0	0	3	true	true
27	573	49500	0.86267	0.0	0.15	4	0	0	3	true	true
28	574	49500	0.86267	0.0	0.15	4	0	0	3	true	true
29	575	49500	0.86267	0.0	0.15	4	0	0	3	true	true
30	576	49500	0.86267	0.0	0.15	4	0	0	3	true	true
31	577	49500	0.86267	0.0	0.15	4	0	0	3	true	true
32	578	49500	0.86267	0.0	0.15	4	0	0	3	true	true
33	579	49500	0.86267	0.0	0.15	4	0	0	3	true	true
34	580	49500	0.86267	0.0	0.15	4	0	0	3	true	true
35	581	49500	0.86267	0.0	0.15	4	0	0	3	true	true
36	582	49500	0.86267	0.0	0.15	4	0	0	3	true	true
37	583	49500	0.86267	0.0	0.15	4	0	0	3	true	true
38	584	49500	0.86267	0.0	0.15	4	0	0	3	true	true
39	585	49500	0.86267	0.0	0.15	4	0	0	3	true	true
40	586	49500	0.86267	0.0	0.15	4	0	0	3	true	true
41	587	49500	0.86267	0.0	0.15	4	0	0	3	true	true
42	588	49500	0.86267	0.0	0.15	4	0	0	3	true	true
43	589	49500	0.86267	0.0	0.15	4	0	0	3	true	true
44	590	49500	0.86267	0.0	0.15	4	0	0	3	true	true
45	591	49500	0.86267	0.0	0.15	4	0	0	3	true	true
46	592	49500	0.86267	0.0	0.15	4	0	0	3	true	true
47	593	49500	0.86267	0.0	0.15	4	0	0	3	true	true
48	594	49500	0.86267	0.0	0.15	4	0	0	3	true	true
49	595	49500	0.86267	0.0	0.15	4	0	0	3	true	true
50	596	49500	0.86267	0.0	0.15	4	0	0	3	true	true
51	597	49500	0.86267	0.0	0.15	4	0	0	3	true	true
52	598	49500	0.86267	0.0	0.15	4	0	0	3	true	true
53	599	49500	0.86267	0.0	0.15	4	0	0	3	true	true
54	600	49500	0.86267	0.0	0.15	4	0	0	3	true	true
55	601	49500	0.86267	0.0	0.15	4	0	0	3	true	true
56	602	49500	0.86267	0.0	0.15	4	0	0	3	true	true
57	603	49500	0.86267	0.0	0.15	4	0	0	3	true	true
58	604	49500	0.86267	0.0	0.15	4	0	0	3	true	true
59	605	49500	0.86267	0.0	0.15	4	0	0	3	true	true
60	606	49500	0.86267	0.0	0.15	4	0	0	3	true	true
61	607	49500	0.86267	0.0	0.15	4	0	0	3	true	true
62	608	49500	0.86267	0.0	0.15	4	0	0	3	true	true
63	609	49500	0.86267	0.0	0.15	4	0	0	3	true	true
64	610	49500	0.86267	0.0	0.15	4	0	0	3	true	true
65	611	49500	0.86267	0.0	0.15	4	0	0	3	true	true
66	612	49500	0.86267	0.0	0.15	4	0	0	3	true	true
67	613	49500	0.86267	0.0	0.15	4	0	0	3	true	true
68	614	49500	0.86267	0.0	0.15	4	0	0	3	true	true
69	615	49500	0.86267	0.0	0.15	4	0	0	3	true	true
70	616	49500	0.86267	0.0	0.15	4	0	0	3	true	true
71	617	49500	0.86267	0.0	0.15	4	0	0	3	true	true
72	618	49500	0.86267	0.0	0.15	4	0	0	3	true	true
73	619	49500	0.86267	0.0	0.15	4	0	0	3	true	true
74	620	49500	0.86267	0.0	0.15	4	0	0	3	true	true
75	621	49500	0.86267	0.0	0.15	4	0	0	3	true	true
76	622	49500	0.86267	0.0	0.15	4	0	0	3	true	true
77	623	49500	0.86267	0.0	0.15	4	0	0	3	true	true
78	624	49500	0.86267	0.0	0.15	4	0	0	3	true	true
79	625	49500	0.86267	0.0	0.15	4	0	0	3	true	true
80	626	49500	0.86267	0.0	0.15	4	0	0	3	true	true
81	627	49500	0.86267	0.0	0.15	4	0	0	3	true	true
82	628	49500	0.86267	0.0	0.15	4	0	0	3	true	true
83	629	49500	0.86267	0.0	0.15	4	0	0	3	true	true
84	630	49500	0.86267	0.0	0.15	4	0	0	3	true	true
85	631	49500	0.86267	0.0	0.15	4	0	0	3	true	true
86	632	49500	0.86267	0.0	0.15	4	0	0	3	true	true
87	633	49500	0.86267	0.0	0.15	4	0	0	3	true	true
88	634	49500	0.86267	0.0	0.15	4	0	0	3	true	true
89	635	49500	0.86267	0.0	0.15	4	0	0	3	true	true
90	636	49500	0.86267	0.0	0.15	4	0	0	3	true	true
91	637	49500	0.86267	0.0	0.15	4	0	0	3	true	true
92	638	49500	0.86267	0.0	0.15	4	0	0	3	true	true
93	639	49500	0.86267	0.0	0.15	4	0	0	3	true	true
94	640	49500	0.86267	0.0	0.15	4	0	0	3	true	true
95	641	49500	0.86267	0.0	0.15	4	0	0	3	true	true
96	642	49500	0.86267	0.0	0.15	4	0	0	3	true	true
97	643	49500	0.86267	0.0	0.15	4	0	0	3	true	true
98	644	49500	0.86267	0.0	0.15	4	0	0	3	true	true
99	645	49500	0.86267	0.0	0.15	4	0	0	3	true	true
100	646	49500	0.86267	0.0	0.15	4	0	0	3	true	true
101	647	49500	0.86267	0.0	0.15	4	0	0	3	true	true
102	648	49500	0.86267	0.0	0.15	4	0	0	3	true	true
103	649	49500	0.86267	0.0	0.15	4	0	0	3	true	true
104	650	49500	0.86267	0.0	0.15	4	0	0	3	true	true
105	651	49500	0.86267	0.0	0.15	4	0	0	3	true	true
106	652	49500	0.86267	0.0	0.15	4	0	0	3	true	true
107	653	49500	0.86267	0.0	0.15	4	0	0	3	true	true
108	654	49500	0.86267	0.0	0.15	4	0	0	3	true	true
109	655	49500	0.86267	0.0	0.15	4	0	0	3	true	true
110	656	49500	0.86267	0.0	0.15	4	0	0	3	true	true
111	657	49500	0.86267	0.0	0.15	4	0	0	3	true	true
112	658	49500	0.86267	0.0	0.15	4	0	0	3	true	true
113	659	49500	0.86267	0.0	0.15	4	0	0	3	true	true
114	660	49500	0.86267	0.0	0.15	4	0	0	3	true	true
115	661	49500	0.86267	0.0	0.15	4	0	0	3	true	true
116	662	49500	0.86267	0.0	0.15	4	0	0	3	true	true
117	663	49500	0.86267	0.0	0.15	4	0	0	3	true	true
118	664	49500	0.86267	0.0	0.15	4	0	0	3	true	true
119	665	49500	0.86267	0.0	0.15	4	0	0	3	true	true
120	666	49500	0.86267	0.0	0.15	4	0	0	3	true	true
121	667	49500	0.86267	0.0	0.15	4	0	0	3	true	true
122	668	49500	0.86267	0.0	0.15	4	0	0	3	true	true
123	669	49500	0.86267	0.0	0.15	4	0	0	3	true	true
124	670	49500	0.86267	0.0	0.15	4	0	0	3	true	true
125	671	49500	0.86267	0.0	0.15	4	0	0	3	true	true
126	672	49500	0.86267	0.0	0.15	4	0	0	3	true	true
127	673	49500	0.86267	0.0	0.15	4	0	0	3	true	true
128	674	49500	0.86267	0.0	0.15	4	0	0	3	true	true
129	675	49500	0.86267	0.0	0.15	4	0	0	3	true	true
130	676	49500	0.86267	0.0	0.15	4	0	0	3	true	true
131	677	49500	0.86267	0.0	0.15	4	0	0	3	true	true
132	678	49500	0.86267	0.0	0.15	4	0	0	3	true	true
