id,x,y,is_zone,through_flow_allowed
1,690309,1976022,true,true
2,683649,1973025,true,true
3,693306,1963368,true,true
4,686313,1958373,true,true
5,696636,1946718,true,true
6,671328,1968030,true,true
7,676323,1957041,true,true
8,655677,1967031,true,true
9,649350,1952712,true,true
10,665667,1949049,true,true
11,666333,1933398,true,true
12,676323,1935396,true,true
13,677988,1924407,true,true
14,679653,1945719,true,true
15,688977,1936062,true,true
16,692307,1925739,true,true
17,700965,1935396,true,true
18,702963,1927404,true,true
19,704295,1919412,true,true
20,678654,1912752,true,true
21,691641,1917747,true,true
22,705294,1911087,true,true
23,693972,1906425,true,true
24,679653,1904760,true,true
25,664002,1893771,true,true
26,680652,1891107,true,true
27,694971,1889775,true,true
28,707625,1900098,true,true
29,710955,1884447,true,true
30,680319,1878120,true,true
31,696303,1873791,true,true
32,689643,1861803,true,true
33,705627,1851147,true,true
34,705960,1865133,true,true
35,722610,1876122,true,true
36,723609,1856142,true,true
37,625374,1965033,true,true
38,550449,2013984,true,true
39,590076,2021310,true,true
40,573426,2021310,true,true
41,590076,2005326,true,true
42,573759,2005326,true,true
43,622377,2020977,true,true
44,606060,2021310,true,true
45,622377,2005326,true,true
46,605727,2004660,true,true
47,654345,2021310,true,true
48,638361,2021310,true,true
49,654012,2005326,true,true
50,638361,2005326,true,true
51,667998,2020311,true,true
52,683982,2001330,true,true
53,670329,2004660,true,true
54,551448,1990341,true,true
55,534798,1989675,true,true
56,551448,1976022,true,true
57,534798,1976022,true,true
58,582750,1991340,true,true
59,567099,1990674,true,true
60,582750,1977687,true,true
61,567099,1977021,true,true
62,613386,1991673,true,true
63,598068,1991340,true,true
64,613386,1978020,true,true
65,598401,1977687,true,true
66,644688,1992006,true,true
67,629037,1992006,true,true
68,644688,1979352,true,true
69,629370,1979019,true,true
70,677655,1991673,true,true
71,660672,1992339,true,true
72,676989,1981350,true,true
73,661005,1981350,true,true
74,687978,1992006,true,true
75,687978,1984347,true,true
76,635697,1963035,true,true
77,629037,1946718,true,true
78,645021,1945053,true,true
79,650016,1958706,true,true
80,646020,1930401,true,true
81,629370,1930068,true,true
82,646020,1914750,true,true
83,630369,1913751,true,true
84,657342,1930734,true,true
85,663003,1914750,true,true
86,647019,1898433,true,true
87,631035,1897767,true,true
88,647019,1882116,true,true
89,631035,1881450,true,true
90,662337,1902762,true,true
91,663003,1882116,true,true
92,608058,1847151,true,true
93,647685,1866132,true,true
94,631701,1865466,true,true
95,648018,1849482,true,true
96,632367,1849482,true,true
97,679320,1869129,true,true
98,663669,1866465,true,true
99,680652,1847151,true,true
100,664002,1850148,true,true
101,694305,1846152,true,true
102,648351,1833165,true,true
103,633033,1832832,true,true
104,649350,1817181,true,true
105,632700,1816848,true,true
106,681318,1834164,true,true
107,664668,1834164,true,true
108,681651,1817847,true,true
109,665334,1817181,true,true
110,714285,1834164,true,true
111,697968,1834830,true,true
112,714618,1817514,true,true
113,698301,1817514,true,true
114,726939,1834164,true,true
115,727272,1817847,true,true
116,681984,1801197,true,true
117,666333,1801197,true,true
