id,is_zone,through_flow_allowed
1,true,true
2,true,true
3,true,true
4,true,true
5,true,true
6,true,true
7,true,true
8,true,true
9,true,true
10,true,true
11,true,true
12,true,true
13,true,true
14,true,true
15,true,true
16,true,true
17,true,true
18,true,true
19,true,true
20,true,true
21,true,true
22,true,true
23,true,true
24,true,true
25,true,true
26,true,true
27,true,true
28,true,true
29,true,true
30,true,true
31,true,true
32,true,true
33,true,true
34,true,true
35,true,true
36,true,true
37,true,true
38,true,true
39,true,true
40,true,true
41,true,true
42,true,true
43,true,true
44,true,true
45,true,true
46,true,true
47,true,true
48,true,true
49,true,true
50,true,true
51,true,true
52,true,true
53,true,true
54,true,true
55,true,true
56,true,true
57,true,true
58,true,true
59,true,true
60,true,true
61,true,true
62,true,true
63,true,true
64,true,true
65,true,true
66,true,true
67,true,true
68,true,true
69,true,true
70,true,true
71,true,true
72,true,true
73,true,true
74,true,true
