src,dst,volume
2,1,44.610847
3,1,67.639683
6,1,56.935997
7,1,724.768919
10,1,4.448323
12,1,35.255907
20,1,3.252073
21,1,0.600509
22,1,0.600056
29,1,0.593797
36,1,76.614241
37,1,0.590858
38,1,0.590858
39,1,0.590858
40,1,0.590858
42,1,0.496327
48,1,0.544804
49,1,0.571588
50,1,0.579193
51,1,0.579193
52,1,0.544491
53,1,0.546041
54,1,0.529152
58,1,3.121589
59,1,0.584093
60,1,0.584093
61,1,0.550263
62,1,0.546584
63,1,0.546584
64,1,0.546584
65,1,0.546584
66,1,0.546584
67,1,0.541428
69,1,0.580411
1,2,63.802849
3,2,72.07049
6,2,320.643351
10,2,465.677208
21,2,69.588982
22,2,44.509766
29,2,16.349612
36,2,13.09929
37,2,15.837108
38,2,15.837108
39,2,15.837108
40,2,15.837108
42,2,2.416144
48,2,4.766722
49,2,7.606273
50,2,9.282696
51,2,9.282696
52,2,4.633824
53,2,4.662076
1,3,471.81948
2,3,118.65221
6,3,329.230351
10,3,4.605681
12,3,123.040888
13,3,86.78809
14,3,86.78809
20,3,3.391481
21,3,34.152265
22,3,43.44791
29,3,16.226002
36,3,12.974707
37,3,15.662349
38,3,15.662349
39,3,15.662349
40,3,15.662349
42,3,2.412158
48,3,4.742102
49,3,7.583014
50,3,9.27495
51,3,9.27495
52,3,4.613355
53,3,4.645671
54,3,1.904684
58,3,3.198683
59,3,2.342811
60,3,2.342811
61,3,2.074518
62,3,1.993297
63,3,1.993297
64,3,1.993297
65,3,1.993297
66,3,1.993297
67,3,2.007721
69,3,2.225744
2,6,381.411877
10,6,190.63577
20,6,21.933356
21,6,90.624224
22,6,203.084968
29,6,22.998423
37,6,21.83349
38,6,21.83349
39,6,21.83349
40,6,21.83349
42,6,2.428495
48,6,5.201306
49,6,8.7594
50,6,11.092619
51,6,11.092619
52,6,5.058002
53,6,5.052007
54,6,3.592571
58,6,10.860629
59,6,6.160351
60,6,6.160351
61,6,4.333691
62,6,3.935759
63,6,3.935759
64,6,3.935759
65,6,3.935759
66,6,3.935759
67,6,4.005885
69,6,5.385822
1,7,918.488499
2,10,167.195351
6,10,957.700233
16,10,260.414981
17,10,260.414981
18,10,260.414981
21,10,82.94767
22,10,212.162678
29,10,23.463504
37,10,22.518272
38,10,22.518272
39,10,22.518272
40,10,22.518272
48,10,5.264023
49,10,8.940253
50,10,11.349321
51,10,11.349321
52,10,5.102921
53,10,5.109795
3,12,134.776233
36,12,14.326261
55,12,136.826753
56,12,136.826753
2,13,104.283571
6,13,136.941407
10,13,4.525612
20,13,18.287751
21,13,31.164585
22,13,38.866391
29,13,15.247569
37,13,14.567283
38,13,14.567283
39,13,14.567283
40,13,14.567283
42,13,2.373871
48,13,4.697908
49,13,7.340665
50,13,8.88281
51,13,8.88281
52,13,4.553321
53,13,4.560125
54,13,4.757789
58,13,14.842005
59,13,9.680315
60,13,9.680315
61,13,6.02138
62,13,5.225736
63,13,5.225736
64,13,5.225736
65,13,5.225736
66,13,5.225736
67,13,5.383699
69,13,12.417476
2,14,104.283571
6,14,136.941407
10,14,4.525612
20,14,18.287751
21,14,31.164585
22,14,38.866391
29,14,15.247569
37,14,14.567283
38,14,14.567283
39,14,14.567283
40,14,14.567283
42,14,2.373871
48,14,4.697908
49,14,7.340665
50,14,8.88281
51,14,8.88281
52,14,4.553321
53,14,4.560125
54,14,4.757789
58,14,14.842005
59,14,9.680315
60,14,9.680315
61,14,6.02138
62,14,5.225736
63,14,5.225736
64,14,5.225736
65,14,5.225736
66,14,5.225736
67,14,5.383699
69,14,12.417476
2,16,90.951624
6,16,181.417875
20,16,33.115467
21,16,130.672428
58,16,23.688343
2,17,90.951624
6,17,181.417875
20,17,33.115467
21,17,130.672428
58,17,23.688343
2,18,90.951624
6,18,181.417875
20,18,33.115467
21,18,130.672428
58,18,23.688343
13,20,29.539054
14,20,29.539054
16,20,62.737552
17,20,62.737552
18,20,62.737552
21,20,69.508539
22,20,56.677571
29,20,18.701883
35,20,101.145694
36,20,7.846065
48,20,4.837528
49,20,7.855097
50,20,9.683341
51,20,9.683341
52,20,4.692664
53,20,4.710273
54,20,4.932186
58,20,85.600503
59,20,10.215358
60,20,10.215358
61,20,6.325123
62,20,5.528133
