src,dst,volume
2,1,2700.0
3,1,1800.0
4,1,900.0
6,1,300.0
7,1,300.0
8,1,300.0
10,1,600.0
12,1,300.0
13,1,300.0
19,1,600.0
22,1,300.0
26,1,600.0
27,1,600.0
32,1,300.0
33,1,300.0
34,1,900.0
35,1,300.0
37,1,300.0
40,1,300.0
41,1,600.0
43,1,300.0
44,1,300.0
46,1,300.0
48,1,300.0
50,1,300.0
52,1,900.0
53,1,600.0
56,1,300.0
58,1,300.0
65,1,600.0
66,1,1200.0
67,1,1500.0
68,1,300.0
70,1,600.0
71,1,300.0
72,1,300.0
73,1,300.0
74,1,600.0
75,1,300.0
82,1,300.0
90,1,300.0
156,1,300.0
157,1,300.0
158,1,3900.0
159,1,7500.0
163,1,300.0
167,1,1800.0
168,1,4800.0
169,1,2100.0
170,1,300.0
174,1,3000.0
175,1,600.0
176,1,1200.0
177,1,300.0
178,1,900.0
179,1,300.0
180,1,14700.0
181,1,900.0
183,1,600.0
184,1,600.0
185,1,9600.0
188,1,600.0
190,1,600.0
191,1,2100.0
192,1,1500.0
193,1,1200.0
195,1,2400.0
196,1,2400.0
197,1,2100.0
198,1,2700.0
199,1,1200.0
200,1,900.0
201,1,4200.0
202,1,900.0
203,1,3000.0
204,1,3000.0
205,1,1500.0
206,1,3300.0
208,1,300.0
209,1,900.0
210,1,1800.0
211,1,600.0
212,1,600.0
213,1,600.0
214,1,900.0
216,1,300.0
217,1,300.0
218,1,300.0
219,1,300.0
220,1,900.0
222,1,300.0
224,1,900.0
226,1,900.0
227,1,600.0
228,1,300.0
229,1,900.0
230,1,900.0
231,1,600.0
232,1,300.0
233,1,600.0
234,1,300.0
235,1,900.0
237,1,1500.0
238,1,2100.0
239,1,1500.0
243,1,300.0
245,1,900.0
1,2,3300.0
3,2,1200.0
4,2,900.0
5,2,300.0
7,2,300.0
8,2,300.0
9,2,300.0
10,2,900.0
11,2,300.0
12,2,300.0
17,2,300.0
19,2,300.0
20,2,300.0
21,2,300.0
22,2,300.0
23,2,300.0
25,2,300.0
26,2,300.0
27,2,300.0
30,2,300.0
31,2,300.0
32,2,300.0
34,2,1200.0
35,2,300.0
36,2,300.0
41,2,300.0
42,2,300.0
45,2,300.0
48,2,300.0
50,2,300.0
51,2,300.0
52,2,300.0
53,2,300.0
55,2,300.0
57,2,300.0
61,2,300.0
62,2,300.0
65,2,600.0
66,2,900.0
67,2,900.0
69,2,300.0
70,2,600.0
71,2,600.0
74,2,300.0
88,2,300.0
89,2,300.0
93,2,300.0
157,2,300.0
158,2,4500.0
159,2,6000.0
162,2,1500.0
164,2,300.0
167,2,300.0
168,2,1500.0
169,2,1200.0
170,2,300.0
172,2,1800.0
173,2,1200.0
174,2,1800.0
175,2,1200.0
176,2,900.0
178,2,600.0
180,2,8700.0
181,2,300.0
183,2,300.0
185,2,6600.0
190,2,300.0
191,2,2100.0
192,2,600.0
193,2,900.0
194,2,300.0
195,2,2100.0
196,2,1200.0
197,2,3900.0
198,2,900.0
199,2,600.0
200,2,900.0
201,2,3600.0
202,2,300.0
203,2,3000.0
204,2,2400.0
205,2,1500.0
206,2,3600.0
207,2,300.0
208,2,900.0
209,2,900.0
210,2,900.0
211,2,300.0
212,2,300.0
214,2,600.0
215,2,900.0
216,2,900.0
217,2,600.0
218,2,600.0
220,2,600.0
224,2,1200.0
225,2,300.0
226,2,300.0
227,2,600.0
229,2,600.0
230,2,300.0
231,2,600.0
232,2,600.0
233,2,300.0
234,2,600.0
235,2,1200.0
237,2,1800.0
238,2,1200.0
239,2,900.0
240,2,900.0
242,2,600.0
243,2,300.0
244,2,300.0
245,2,300.0
1,3,1500.0
2,3,1800.0
4,3,3300.0
5,3,300.0
10,3,600.0
11,3,300.0
15,3,300.0
16,3,300.0
17,3,600.0
19,3,300.0
20,3,300.0
22,3,300.0
23,3,300.0
25,3,600.0
26,3,900.0
27,3,300.0
28,3,300.0
29,3,300.0
30,3,300.0
33,3,300.0
34,3,600.0
39,3,300.0
41,3,600.0
42,3,600.0
43,3,300.0
45,3,300.0
48,3,300.0
52,3,600.0
56,3,300.0
57,3,300.0
59,3,300.0
60,3,300.0
65,3,300.0
66,3,900.0
67,3,600.0
68,3,300.0
69,3,300.0
70,3,300.0
71,3,300.0
72,3,900.0
74,3,600.0
80,3,300.0
87,3,300.0
89,3,300.0
90,3,300.0
156,3,600.0
158,3,1500.0
159,3,4800.0
162,3,900.0
