id,x,y,is_zone,through_flow_allowed
1,30208,74789,true,true
2,30224,74793,true,true
3,30247,74783,true,true
4,30220,74767,true,true
5,30243,74752,true,true
6,30227,74755,true,true
7,30211,74759,true,true
8,30200,74760,true,true
9,30180,74755,true,true
10,30173,74765,true,true
11,30183,74773,true,true
12,30178,74793,true,true
13,30153,74763,true,true
14,30158,74777,true,true
15,30151,74790,true,true
16,30275,74793,true,true
17,30291,74777,true,true
18,30285,74743,true,true
19,30268,74746,true,true
20,30264,74723,true,true
21,30248,74733,true,true
22,30224,74738,true,true
23,30230,74722,true,true
24,30216,74739,true,true
25,30207,74741,true,true
26,30201,74752,true,true
27,30197,74742,true,true
28,30205,74727,true,true
29,30186,74736,true,true
30,30162,74749,true,true
31,30166,74733,true,true
32,30143,74743,true,true
33,30125,74755,true,true
34,30132,74738,true,true
35,30106,74745,true,true
36,30090,74757,true,true
37,30137,74764,true,true
38,30122,74772,true,true
39,30105,74771,true,true
40,30122,74783,true,true
41,30133,74806,true,true
42,30137,74820,true,true
43,30164,74815,true,true
44,30190,74819,true,true
45,30208,74806,true,true
46,30219,74815,true,true
47,30234,74804,true,true
48,30258,74808,true,true
49,30301,74792,true,true
50,30317,74791,true,true
51,30310,74775,true,true
52,30303,74726,true,true
53,30330,74771,true,true
54,30321,74724,true,true
55,30090,74726,true,true
56,30160,74728,true,true
57,30230,74715,true,true
58,30290,74708,true,true
59,30334,74702,true,true
60,30306,74688,true,true
61,30334,74682,true,true
62,30228,74710,true,true
63,30162,74710,true,true
64,30094,74694,true,true
65,30134,74690,true,true
66,30174,74682,true,true
67,30208,74674,true,true
68,30242,74682,true,true
69,30292,74670,true,true
70,30332,74664,true,true
71,30318,74626,true,true
72,30344,74622,true,true
73,30276,74626,true,true
74,30228,74632,true,true
75,30196,74646,true,true
76,30162,74654,true,true
77,30128,74658,true,true
78,30086,74662,true,true
79,30044,74686,true,true
80,30000,74694,true,true
81,29988,74622,true,true
82,30060,74614,true,true
83,30110,74616,true,true
84,30108,74578,true,true
85,30148,74576,true,true
86,30192,74584,true,true
87,30226,74574,true,true
88,30266,74570,true,true
89,30332,74542,true,true
90,30372,74534,true,true
91,30260,74518,true,true
92,30190,74530,true,true
93,30028,74516,true,true
94,30124,74494,true,true
95,30176,74486,true,true
96,30235,74465,true,true
97,30360,74432,true,true
98,30206,74370,true,true
99,30216,74326,true,true
100,30080,74452,true,true
101,30054,74398,true,true
102,29860,74338,true,true
103,29780,74275,true,true
104,29765,74345,true,true
105,29720,74362,true,true
106,29768,74492,true,true
107,29772,74430,true,true
108,29832,74406,true,true
109,29902,74478,true,true
110,29834,74478,true,true
111,29806,74518,true,true
112,29856,74540,true,true
113,29832,74568,true,true
114,29800,74582,true,true
115,29788,74610,true,true
116,29832,74664,true,true
117,29856,74632,true,true
118,29886,74606,true,true
119,29934,74572,true,true
120,29924,74646,true,true
121,29894,74678,true,true
122,29866,74706,true,true
123,29836,74734,true,true
124,29890,74738,true,true
125,29936,74714,true,true
126,29962,74684,true,true
127,30028,74754,true,true
128,29964,74748,true,true
129,29926,74750,true,true
130,29912,74782,true,true
131,29866,74782,true,true
132,29824,74780,true,true
133,29766,74770,true,true
134,29770,74820,true,true
135,29824,74826,true,true
136,29870,74820,true,true
137,29918,74810,true,true
138,29962,74798,true,true
139,30002,74796,true,true
140,30068,74798,true,true
141,30056,74846,true,true
142,30020,74846,true,true
143,29968,74846,true,true
144,29880,74860,true,true
145,29838,74868,true,true
146,29810,74884,true,true
147,29782,74878,true,true
148,29700,74906,true,true
149,29658,74948,true,true
150,29684,74994,true,true
151,29742,74916,true,true
152,29780,74934,true,true
153,29842,74894,true,true
154,29878,74890,true,true
155,29908,74890,true,true
156,29938,74892,true,true
157,29966,74876,true,true
158,29974,74902,true,true
159,30018,74878,true,true
160,30054,74882,true,true
161,29974,74940,true,true
162,29898,74950,true,true
163,29832,74938,true,true
164,29822,74974,true,true
165,29772,74990,true,true
166,29732,74966,true,true
167,29738,75022,true,true
168,29792,75066,true,true
169,29822,75022,true,true
170,29852,75028,true,true
171,29850,75086,true,true
172,29890,75094,true,true
173,29944,75132,true,true
174,29968,75066,true,true
175,30052,74910,true,true
176,30168,74854,true,true
177,30232,74842,true,true
178,30270,74846,true,true
179,30300,74838,true,true
180,30340,74838,true,true
181,30358,74826,true,true
182,30304,74874,true,true
183,30276,74880,true,true
184,30242,74888,true,true
185,30208,74894,true,true
186,30170,74882,true,true
187,30174,74910,true,true
188,30126,74912,true,true
189,30096,74958,true,true
190,30136,74958,true,true
191,30170,74946,true,true
192,30208,74936,true,true
193,30274,74916,true,true
194,30334,74892,true,true
195,30321,74745,true,true
196,30408,74910,true,true
197,30338,74818,true,true
198,30334,74930,true,true
199,30286,74954,true,true
200,30254,74954,true,true
201,30214,74974,true,true
202,30174,74982,true,true
203,30126,74992,true,true
204,30036,75002,true,true
205,30116,75030,true,true
206,30180,75022,true,true
207,30220,75014,true,true
208,30254,75000,true,true
209,30286,74998,true,true
210,30322,74974,true,true
211,30358,74970,true,true
212,30388,74942,true,true
213,30458,74942,true,true
214,30464,74918,true,true
215,30420,74984,true,true
216,30398,75014,true,true
217,30344,75012,true,true
218,30364,75046,true,true
219,30318,75050,true,true
220,30284,75040,true,true
221,30256,75044,true,true
222,30228,75056,true,true
223,30186,75062,true,true
