id,x,y,is_zone,through_flow_allowed
1,151.197,-33.852,true,true
2,151.226,-33.855,true,true
3,151.206,-33.855,true,true
4,151.202,-33.861,true,true
5,151.202,-33.864,true,true
6,151.202,-33.856,true,true
7,151.202,-33.857,true,true
8,151.203,-33.857,true,true
9,151.204,-33.857,true,true
10,151.207,-33.856,true,true
11,151.209,-33.857,true,true
12,151.21,-33.858,true,true
13,151.209,-33.856,true,true
14,151.203,-33.858,true,true
15,151.205,-33.858,true,true
16,151.207,-33.858,true,true
17,151.208,-33.858,true,true
18,151.209,-33.857,true,true
19,151.209,-33.859,true,true
20,151.209,-33.858,true,true
21,151.202,-33.858,true,true
22,151.203,-33.859,true,true
23,151.203,-33.86,true,true
24,151.204,-33.86,true,true
25,151.203,-33.863,true,true
26,151.203,-33.862,true,true
27,151.207,-33.86,true,true
28,151.207,-33.86,true,true
29,151.208,-33.859,true,true
30,151.208,-33.859,true,true
31,151.209,-33.859,true,true
32,151.208,-33.86,true,true
33,151.208,-33.86,true,true
34,151.208,-33.86,true,true
35,151.208,-33.86,true,true
36,151.209,-33.86,true,true
37,151.209,-33.861,true,true
38,151.21,-33.861,true,true
39,151.213,-33.86,true,true
40,151.206,-33.861,true,true
41,151.206,-33.861,true,true
42,151.206,-33.862,true,true
43,151.207,-33.862,true,true
44,151.207,-33.862,true,true
45,151.208,-33.861,true,true
46,151.208,-33.862,true,true
47,151.206,-33.862,true,true
48,151.206,-33.862,true,true
49,151.206,-33.863,true,true
50,151.207,-33.862,true,true
51,151.206,-33.863,true,true
52,151.206,-33.863,true,true
53,151.206,-33.863,true,true
54,151.207,-33.863,true,true
55,151.207,-33.863,true,true
56,151.207,-33.863,true,true
57,151.209,-33.862,true,true
58,151.208,-33.862,true,true
59,151.209,-33.862,true,true
60,151.209,-33.862,true,true
61,151.208,-33.862,true,true
62,151.208,-33.863,true,true
63,151.208,-33.863,true,true
64,151.209,-33.863,true,true
65,151.208,-33.863,true,true
66,151.21,-33.862,true,true
67,151.209,-33.862,true,true
68,151.21,-33.863,true,true
69,151.209,-33.863,true,true
70,151.209,-33.863,true,true
71,151.209,-33.863,true,true
72,151.211,-33.862,true,true
73,151.211,-33.863,true,true
74,151.211,-33.863,true,true
75,151.211,-33.863,true,true
76,151.212,-33.862,true,true
77,151.212,-33.863,true,true
78,151.212,-33.863,true,true
79,151.213,-33.862,true,true
80,151.212,-33.863,true,true
81,151.202,-33.866,true,true
82,151.204,-33.865,true,true
83,151.203,-33.865,true,true
84,151.204,-33.864,true,true
85,151.205,-33.864,true,true
86,151.205,-33.865,true,true
87,151.207,-33.864,true,true
88,151.206,-33.865,true,true
89,151.206,-33.865,true,true
90,151.207,-33.865,true,true
91,151.206,-33.865,true,true
92,151.208,-33.864,true,true
93,151.208,-33.864,true,true
94,151.209,-33.864,true,true
95,151.208,-33.864,true,true
96,151.208,-33.864,true,true
97,151.208,-33.864,true,true
98,151.208,-33.864,true,true
99,151.209,-33.864,true,true
100,151.209,-33.864,true,true
101,151.209,-33.864,true,true
102,151.21,-33.864,true,true
103,151.211,-33.864,true,true
104,151.211,-33.864,true,true
105,151.211,-33.864,true,true
106,151.211,-33.864,true,true
107,151.212,-33.864,true,true
108,151.213,-33.864,true,true
109,151.212,-33.865,true,true
110,151.212,-33.865,true,true
111,151.208,-33.865,true,true
112,151.209,-33.865,true,true
113,151.208,-33.865,true,true
114,151.208,-33.865,true,true
115,151.208,-33.865,true,true
116,151.21,-33.865,true,true
117,151.21,-33.865,true,true
118,151.209,-33.865,true,true
119,151.209,-33.865,true,true
120,151.209,-33.865,true,true
121,151.211,-33.865,true,true
122,151.21,-33.865,true,true
123,151.211,-33.865,true,true
124,151.21,-33.865,true,true
125,151.21,-33.865,true,true
126,151.21,-33.865,true,true
127,151.209,-33.866,true,true
128,151.21,-33.866,true,true
129,151.211,-33.865,true,true
130,151.211,-33.865,true,true
131,151.21,-33.866,true,true
132,151.211,-33.866,true,true
133,151.212,-33.866,true,true
134,151.212,-33.866,true,true
135,151.212,-33.866,true,true
136,151.205,-33.865,true,true
137,151.205,-33.866,true,true
138,151.205,-33.867,true,true
139,151.205,-33.865,true,true
140,151.205,-33.866,true,true
141,151.205,-33.866,true,true
142,151.205,-33.866,true,true
143,151.206,-33.866,true,true
144,151.205,-33.867,true,true
145,151.206,-33.865,true,true
146,151.207,-33.865,true,true
147,151.207,-33.866,true,true
148,151.207,-33.866,true,true
149,151.207,-33.866,true,true
150,151.207,-33.867,true,true
151,151.208,-33.866,true,true
152,151.208,-33.866,true,true
153,151.208,-33.866,true,true
154,151.208,-33.867,true,true
155,151.207,-33.867,true,true
156,151.208,-33.867,true,true
157,151.209,-33.866,true,true
158,151.21,-33.866,true,true
159,151.209,-33.866,true,true
160,151.209,-33.867,true,true
161,151.21,-33.867,true,true
162,151.209,-33.867,true,true
163,151.209,-33.867,true,true
164,151.209,-33.867,true,true
165,151.21,-33.866,true,true
166,151.21,-33.867,true,true
167,151.21,-33.867,true,true
168,151.21,-33.867,true,true
169,151.211,-33.867,true,true
170,151.211,-33.867,true,true
171,151.211,-33.867,true,true
172,151.212,-33.867,true,true
173,151.212,-33.867,true,true
174,151.212,-33.867,true,true
175,151.212,-33.867,true,true
176,151.202,-33.868,true,true
177,151.203,-33.868,true,true
178,151.204,-33.867,true,true
179,151.204,-33.867,true,true
180,151.204,-33.868,true,true
181,151.204,-33.868,true,true
182,151.204,-33.869,true,true
183,151.204,-33.869,true,true
184,151.205,-33.867,true,true
185,151.205,-33.867,true,true
186,151.205,-33.868,true,true
187,151.205,-33.868,true,true
188,151.205,-33.869,true,true
189,151.205,-33.867,true,true
190,151.206,-33.867,true,true
191,151.205,-33.867,true,true
192,151.206,-33.867,true,true
193,151.206,-33.868,true,true
194,151.205,-33.868,true,true
195,151.206,-33.868,true,true
196,151.206,-33.868,true,true
197,151.206,-33.868,true,true
198,151.207,-33.867,true,true
199,151.206,-33.867,true,true
200,151.206,-33.868,true,true
201,151.207,-33.868,true,true
202,151.206,-33.868,true,true
203,151.207,-33.868,true,true
204,151.208,-33.868,true,true
205,151.207,-33.868,true,true
206,151.208,-33.869,true,true
207,151.209,-33.868,true,true
208,151.209,-33.869,true,true
209,151.209,-33.869,true,true
210,151.21,-33.868,true,true
211,151.21,-33.868,true,true
