src,dst,volume
3,1,100.0
7,1,150.0
8,1,175.0
10,1,150.0
11,1,100.0
12,1,150.0
13,1,625.0
14,1,275.0
16,1,850.0
17,1,125.0
18,1,1100.0
19,1,250.0
20,1,150.0
21,1,300.0
23,1,150.0
25,1,275.0
28,1,100.0
31,1,375.0
33,1,350.0
35,1,125.0
36,1,150.0
38,1,450.0
39,1,350.0
40,1,250.0
41,1,225.0
42,1,725.0
43,1,425.0
44,1,1100.0
45,1,525.0
46,1,350.0
47,1,375.0
49,1,150.0
50,1,550.0
51,1,300.0
52,1,125.0
54,1,675.0
55,1,250.0
57,1,125.0
59,1,150.0
62,1,1350.0
63,1,100.0
65,1,250.0
66,1,700.0
67,1,350.0
69,1,525.0
70,1,675.0
71,1,675.0
72,1,125.0
73,1,200.0
74,1,875.0
75,1,250.0
76,1,600.0
77,1,525.0
79,1,825.0
80,1,225.0
81,1,125.0
82,1,125.0
83,1,225.0
86,1,400.0
88,1,225.0
90,1,825.0
91,1,1475.0
92,1,1825.0
94,1,500.0
95,1,600.0
97,1,125.0
98,1,125.0
100,1,425.0
101,1,150.0
104,1,300.0
106,1,125.0
109,1,100.0
110,1,175.0
111,1,100.0
112,1,275.0
114,1,125.0
115,1,675.0
116,1,375.0
117,1,650.0
118,1,100.0
120,1,375.0
3,2,125.0
10,2,175.0
11,2,150.0
12,2,425.0
13,2,775.0
14,2,725.0
15,2,425.0
16,2,600.0
17,2,975.0
18,2,1900.0
19,2,825.0
21,2,325.0
23,2,200.0
24,2,300.0
25,2,300.0
28,2,150.0
31,2,950.0
33,2,175.0
34,2,150.0
36,2,450.0
38,2,1875.0
39,2,600.0
40,2,250.0
41,2,125.0
42,2,750.0
43,2,125.0
44,2,550.0
45,2,225.0
46,2,375.0
47,2,975.0
48,2,150.0
49,2,175.0
50,2,125.0
51,2,300.0
52,2,425.0
53,2,150.0
54,2,375.0
55,2,125.0
57,2,275.0
58,2,150.0
60,2,175.0
62,2,1350.0
63,2,125.0
65,2,125.0
66,2,150.0
67,2,750.0
68,2,375.0
69,2,375.0
70,2,1350.0
71,2,175.0
72,2,475.0
73,2,225.0
74,2,525.0
76,2,600.0
77,2,400.0
79,2,275.0
81,2,725.0
82,2,450.0
83,2,300.0
84,2,1100.0
86,2,400.0
88,2,775.0
89,2,125.0
90,2,575.0
91,2,250.0
92,2,775.0
94,2,2075.0
95,2,150.0
97,2,825.0
98,2,300.0
100,2,450.0
101,2,150.0
102,2,100.0
106,2,100.0
107,2,150.0
109,2,125.0
110,2,550.0
111,2,300.0
112,2,150.0
113,2,125.0
114,2,125.0
115,2,1100.0
116,2,675.0
117,2,650.0
119,2,600.0
120,2,675.0
124,2,275.0
5,3,150.0
7,3,150.0
9,3,150.0
11,3,300.0
12,3,125.0
13,3,750.0
14,3,300.0
15,3,525.0
16,3,250.0
17,3,150.0
18,3,625.0
19,3,375.0
21,3,325.0
25,3,125.0
31,3,1225.0
34,3,475.0
36,3,275.0
38,3,1250.0
39,3,350.0
40,3,275.0
41,3,125.0
42,3,225.0
43,3,300.0
44,3,700.0
45,3,875.0
46,3,300.0
47,3,1000.0
49,3,150.0
50,3,275.0
51,3,125.0
52,3,400.0
54,3,100.0
55,3,125.0
56,3,125.0
57,3,225.0
58,3,325.0
59,3,325.0
62,3,275.0
63,3,250.0
65,3,525.0
66,3,400.0
67,3,150.0
68,3,350.0
69,3,100.0
70,3,425.0
71,3,200.0
72,3,300.0
74,3,125.0
76,3,300.0
77,3,100.0
79,3,250.0
81,3,150.0
83,3,325.0
84,3,125.0
86,3,100.0
88,3,500.0
90,3,400.0
91,3,475.0
92,3,925.0
94,3,1025.0
95,3,875.0
97,3,100.0
100,3,125.0
101,3,175.0
102,3,100.0
104,3,275.0
108,3,125.0
109,3,100.0
110,3,175.0
111,3,575.0
114,3,125.0
115,3,275.0
116,3,100.0
117,3,275.0
120,3,250.0
122,3,150.0
124,3,1050.0
3,4,150.0
5,4,300.0
11,4,275.0
12,4,125.0
13,4,300.0
14,4,150.0
15,4,150.0
16,4,350.0
17,4,275.0
18,4,1425.0
19,4,275.0
21,4,500.0
22,4,125.0
24,4,325.0
25,4,750.0
31,4,650.0
