id,x,y,is_zone,through_flow_allowed
1,712475,1855780,true,true
2,713275,1850580,true,true
3,715275,1847980,true,true
4,713675,1844580,true,true
5,717675,1842680,true,true
6,713775,1839180,true,true
7,717975,1838980,true,true
8,716775,1831380,true,true
9,718175,1835380,true,true
10,716875,1827080,true,true
11,721075,1831480,true,true
12,711675,1819480,true,true
13,717075,1821580,true,true
14,714175,1816880,true,true
15,717075,1816880,true,true
16,717175,1813880,true,true
17,720686,1809584,true,true
18,715075,1806180,true,true
19,719975,1805580,true,true
20,715675,1800480,true,true
21,719975,1798480,true,true
22,717375,1797780,true,true
23,719975,1796780,true,true
24,717475,1790380,true,true
25,720175,1790380,true,true
26,712175,1785080,true,true
27,720175,1784880,true,true
28,717475,1777080,true,true
29,717675,1766680,true,true
30,717875,1759980,true,true
31,677075,1964780,true,true
32,677375,1959480,true,true
33,675775,1955880,true,true
34,678575,1950480,true,true
35,681311,1950840,true,true
36,677575,1945280,true,true
37,682775,1945480,true,true
38,675075,1939880,true,true
39,683075,1938080,true,true
40,677975,1934580,true,true
41,680875,1934680,true,true
42,678075,1929280,true,true
43,684775,1929480,true,true
44,686075,1929480,true,true
45,679575,1923980,true,true
46,684175,1924080,true,true
47,686675,1924280,true,true
48,678375,1918680,true,true
49,683675,1918780,true,true
50,689575,1918380,true,true
51,678575,1913380,true,true
52,685275,1911880,true,true
53,689775,1913180,true,true
54,686803,1905336,true,true
55,688174,1905393,true,true
56,690070,1905470,true,true
57,691286,1905460,true,true
58,693053,1905001,true,true
59,694259,1905001,true,true
60,696894,1903971,true,true
61,686775,1903780,true,true
62,688638,1903490,true,true
63,689694,1903387,true,true
64,690875,1903980,true,true
65,692975,1903980,true,true
66,694689,1903605,true,true
67,687820,1901811,true,true
68,688700,1902261,true,true
69,690117,1901879,true,true
70,691285,1901884,true,true
71,693075,1901880,true,true
72,694257,1902162,true,true
73,687875,1900780,true,true
74,688653,1900795,true,true
75,690185,1900884,true,true
76,691384,1900889,true,true
77,692586,1900868,true,true
78,694173,1900999,true,true
79,687892,1899462,true,true
80,689081,1899226,true,true
81,690186,1899723,true,true
82,691375,1899680,true,true
83,692675,1899180,true,true
84,694193,1898927,true,true
85,687871,1898309,true,true
86,688704,1898336,true,true
87,690584,1898425,true,true
88,691784,1898419,true,true
89,692732,1898210,true,true
90,687871,1896626,true,true
91,689186,1896977,true,true
92,690476,1897346,true,true
93,691571,1896623,true,true
94,693270,1897034,true,true
95,694280,1897014,true,true
96,688039,1895616,true,true
97,689175,1895600,true,true
98,691114,1895322,true,true
99,691984,1895833,true,true
100,693306,1895531,true,true
101,681511,1908244,true,true
102,686153,1908427,true,true
103,687988,1909296,true,true
104,689575,1908380,true,true
105,691904,1908458,true,true
106,681516,1905569,true,true
107,684375,1905880,true,true
108,688096,1908012,true,true
109,690780,1908105,true,true
110,692590,1906848,true,true
111,683400,1903727,true,true
112,684917,1905358,true,true
113,682814,1901662,true,true
114,684366,1901798,true,true
115,683890,1899449,true,true
116,685650,1899407,true,true
117,683994,1895532,true,true
118,685220,1895055,true,true
119,684035,1893442,true,true
120,686814,1892339,true,true
121,689275,1892380,true,true
122,692132,1892418,true,true
123,693784,1893702,true,true
124,695383,1889578,true,true
125,683161,1891180,true,true
126,686835,1891319,true,true
127,689286,1891119,true,true
128,691690,1890335,true,true
129,693784,1891261,true,true
